Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP054892	4593694	9.65e-17		Shigella flexneri	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella	2020	1	50	4265547	4265498	50	50	100.00	100.00	YES
CP174317	72713	9.65e-17		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	1572	1523	50	50	100.00	100.00	YES
CP174317	72713	9.65e-17		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	33975	33926	50	50	100.00	100.00	YES
CP174317	72713	9.65e-17		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	50910	50861	50	50	100.00	100.00	YES
CP174317	72713	3.81e-16		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	49	8938	8890	49	50	100.00	100.00	YES
CP174317	72713	5.95e-15		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	47	37818	37772	47	50	100.00	100.00	YES
CP174317	72713	2.35e-14		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	72341	72292	50	50	98.00	100.00	YES
CP174317	72713	1.45e-12		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	43	15097	15055	43	50	100.00	100.00	YES
CP174317	72713	2.18e-08		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	14	49	4273	4238	36	50	100.00	100.00	YES
CP174317	72713	3.28e-04		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	11	43	30288	30256	33	50	96.97	100.00	YES
CP174317	72713	0.080		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	15	39	71266	71242	25	50	100.00	100.00	YES
CP174315	122680	9.65e-17		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	1928	1977	50	50	100.00	100.00	YES
CP174315	122680	9.65e-17		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	6298	6347	50	50	100.00	100.00	YES
CP174315	122680	9.65e-17		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	17699	17748	50	50	100.00	100.00	YES
CP174315	122680	9.65e-17		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	18194	18243	50	50	100.00	100.00	YES
CP174315	122680	9.65e-17		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	25732	25781	50	50	100.00	100.00	YES
CP174315	122680	9.65e-17		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	32752	32801	50	50	100.00	100.00	YES
CP174315	122680	9.65e-17		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	42834	42883	50	50	100.00	100.00	YES
CP174315	122680	9.65e-17		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	58416	58367	50	50	100.00	100.00	YES
CP174315	122680	9.65e-17		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	92956	93005	50	50	100.00	100.00	YES
CP174315	122680	9.65e-17		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	101012	100963	50	50	100.00	100.00	YES
CP174315	122680	9.65e-17		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	122611	122562	50	50	100.00	100.00	YES
CP174315	122680	1.51e-15		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	48	102376	102329	48	50	100.00	100.00	YES
CP174315	122680	2.35e-14		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	10287	10336	50	50	98.00	100.00	YES
CP174315	122680	9.29e-14		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	6	50	87639	87595	45	50	100.00	100.00	YES
CP174315	122680	3.67e-13		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	48	104019	103972	48	50	97.92	100.00	YES
CP174315	122680	5.73e-12		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	2	43	7929	7970	42	50	100.00	100.00	YES
CP174315	122680	5.73e-12		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	50	103393	103345	50	50	98.00	100.00	YES
CP174315	122680	2.27e-11		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	2	50	32021	32069	49	50	95.92	100.00	YES
CP174315	122680	3.54e-10		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	39	2674	2712	39	50	100.00	100.00	YES
