Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
OZ297662	88448096	2.49e-04		Perkinsiana rubra	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Annelida; Polychaeta; Sedentaria; Canalipalpata; Sabellida; Sabellidae; Perkinsiana	2025	1	28	2296387	2296360	28	28	100.00	100.00	YES
OZ297662	88448096	0.004		Perkinsiana rubra	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Annelida; Polychaeta; Sedentaria; Canalipalpata; Sabellida; Sabellidae; Perkinsiana	2025	3	28	38063476	38063501	26	28	100.00	100.00	YES
OZ297662	88448096	0.24		Perkinsiana rubra	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Annelida; Polychaeta; Sedentaria; Canalipalpata; Sabellida; Sabellidae; Perkinsiana	2025	6	28	70430080	70430058	23	28	100.00	100.00	YES
OZ297661	88472849	2.49e-04		Perkinsiana rubra	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Annelida; Polychaeta; Sedentaria; Canalipalpata; Sabellida; Sabellidae; Perkinsiana	2025	1	28	86215657	86215630	28	28	100.00	100.00	YES
OZ405306	14456993	2.49e-04		Hipparchia cypriensis	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Satyrinae; Satyrini; Satyrina; Hipparchia	2026	1	28	14445304	14445277	28	28	100.00	100.00	YES
OZ405306	14456993	0.061		Hipparchia cypriensis	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Satyrinae; Satyrini; Satyrina; Hipparchia	2026	5	28	14456980	14456957	24	28	100.00	100.00	YES
LC541868	24158	2.49e-04		Plasmodium berghei ANKA	Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Vinckeia)	2020	1	28	2	29	28	28	100.00	100.00	YES
OZ285794	31776000	2.49e-04		Serranus cabrilla	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Serranoidei; Serranidae; Serraninae; Serranus	2025	1	28	6153132	6153159	28	28	100.00	100.00	YES
OZ184656	47029406	2.49e-04		Musa banksii	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Zingiberales; Musaceae; Musa	2024	1	28	14928046	14928073	28	28	100.00	100.00	YES
OZ184656	47029406	0.004		Musa banksii	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Zingiberales; Musaceae; Musa	2024	3	28	18693475	18693450	26	28	100.00	100.00	YES
OZ184656	47029406	0.004		Musa banksii	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Zingiberales; Musaceae; Musa	2024	3	28	19082923	19082898	26	28	100.00	100.00	YES
OZ184656	47029406	0.061		Musa banksii	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Zingiberales; Musaceae; Musa	2024	5	28	14785818	14785841	24	28	100.00	100.00	YES
OZ184656	47029406	0.95		Musa banksii	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Zingiberales; Musaceae; Musa	2024	7	28	19572258	19572279	22	28	100.00	100.00	YES
AP039710	242976	0.001		Savitreella phatthalungensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycetes; Taphrinales; Taphrinales incertae sedis; Savitreella	2025	2	28	242968	242942	27	28	100.00	96.00	YES
AP039710	242976	0.004		Savitreella phatthalungensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycetes; Taphrinales; Taphrinales incertae sedis; Savitreella	2025	3	28	10	35	26	28	100.00	96.00	YES
OZ262822	7627661	0.001		Diogenes pugilator	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Multicrustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Anomura; Paguroidea; Diogenidae; Diogenes	2025	2	28	6645751	6645725	27	28	100.00	96.00	YES
OZ262818	8257294	0.001		Diogenes pugilator	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Multicrustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Anomura; Paguroidea; Diogenidae; Diogenes	2025	2	28	2460607	2460581	27	28	100.00	96.00	YES
OZ262759	28493118	0.001		Diogenes pugilator	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Multicrustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Anomura; Paguroidea; Diogenidae; Diogenes	2025	2	28	14000962	14000936	27	28	100.00	96.00	YES
OZ262759	28493118	0.004		Diogenes pugilator	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Multicrustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Anomura; Paguroidea; Diogenidae; Diogenes	2025	3	28	13484907	13484882	26	28	100.00	96.00	YES
OZ262759	28493118	0.004		Diogenes pugilator	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Multicrustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Anomura; Paguroidea; Diogenidae; Diogenes	2025	3	28	13485126	13485151	26	28	100.00	96.00	YES
OZ262759	28493118	0.061		Diogenes pugilator	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Multicrustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Anomura; Paguroidea; Diogenidae; Diogenes	2025	5	28	13868539	13868516	24	28	100.00	96.00	YES
