Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP044585	1078013	0.38		Nannochloropsis oceanica	Eukaryota; Sar; Stramenopiles; Ochrophyta; Eustigmatophyceae; Eustigmatales; Monodopsidaceae; Nannochloropsis	2019	1	22	286136	286115	22	22	100.00	100.00	YES
ON492938	1248	0.38		Aspergillus jensenii	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus	2025	1	22	1166	1187	22	22	100.00	100.00	YES
ON492670	1846	0.38		Ascochyta phacae	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Didymellaceae; Ascochyta	2025	1	22	1164	1185	22	22	100.00	100.00	YES
ON492670	1846	0.38		Ascochyta phacae	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Didymellaceae; Ascochyta	2025	1	22	1324	1303	22	22	100.00	100.00	YES
ON492351	1510	0.38		Cladorrhinum intermedium	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Podosporaceae; Cladorrhinum	2025	1	22	1148	1169	22	22	100.00	100.00	YES
MN135770	4325	0.38		uncultured Turicimonas sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Turicimonas; environmental samples	2019	1	22	4274	4295	22	22	100.00	100.00	YES
MN135769	4168	0.38		uncultured Turicimonas sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Turicimonas; environmental samples	2019	1	22	4068	4089	22	22	100.00	100.00	YES
MN135768	4114	0.38		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	22	4061	4082	22	22	100.00	100.00	YES
MN135767	4379	0.38		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	22	4338	4359	22	22	100.00	100.00	YES
MN135766	4090	0.38		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	22	4030	4051	22	22	100.00	100.00	YES
MN135765	4375	0.38		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	22	4306	4327	22	22	100.00	100.00	YES
MN135764	4151	0.38		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	22	4089	4110	22	22	100.00	100.00	YES
MN135763	4135	0.38		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	22	4085	4106	22	22	100.00	100.00	YES
MN135762	4323	0.38		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	22	4277	4298	22	22	100.00	100.00	YES
PV031625	491	0.38		Anopheles freeborni	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicoidea; Culicidae; Anophelinae; Anopheles	2025	1	22	470	491	22	22	100.00	100.00	YES
CP035743	2584763	0.38		Staphylococcus pseudintermedius	Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus intermedius group	2021	1	22	1098204	1098183	22	22	100.00	100.00	YES
MW018149	4296	0.38		Nephridiophagaceae sp.	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Nephridiophagales	2021	1	22	34	55	22	22	100.00	100.00	YES
MW045406	5643	0.38		Norovirus GII	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norovirus norwalkense	2020	1	22	2234	2213	22	22	100.00	100.00	YES
ON492905	1353	1.5		Parathyridaria ramulicola	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Thyridariaceae; Parathyridaria	2025	1	21	1153	1173	21	22	100.00	95.00	YES
MW567967	3164	1.5		Hepatitis B virus	Viruses; Riboviria; Pararnavirae; Artverviricota; Revtraviricetes; Blubervirales; Hepadnaviridae; Orthohepadnavirus; Orthohepadnavirus hominoidei	2021	1	21	1803	1823	21	22	100.00	95.00	YES
MT749989	1473	1.5		Methylobacterium sp.	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Methylobacteriaceae; Methylobacterium	2020	2	22	1449	1469	21	22	100.00	95.00	YES
OZ280982	22681785	5.9		Archips oporana	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Tortricoidea; Tortricidae; Tortricinae; Archips	2025	3	22	17829982	17830001	20	22	100.00	91.00	YES
OZ280875	22585993	5.9		Archips oporana	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Tortricoidea; Tortricidae; Tortricinae; Archips	2025	3	22	17730199	17730218	20	22	100.00	91.00	YES
OZ260475	14386000	5.9		Acontia lucida	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Acontiinae; Acontia	2025	1	20	12290166	12290185	20	22	100.00	91.00	YES
OZ260428	14466631	5.9		Acontia lucida	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Acontiinae; Acontia	2025	1	20	2079090	2079071	20	22	100.00	91.00	YES
OZ180205	62042294	5.9		Monacha cantiana	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Eupulmonata; Stylommatophora; Helicina; Helicoidea; Hygromiidae; Trochulinae; Monacha	2024	1	20	25561046	25561065	20	22	100.00	91.00	YES
