Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP126460	353437	0.024		Rhodococcus sp. AH-ZY2	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Rhodococcus	2023	1	24	235917	235940	24	24	100.00	100.00	YES
CP126460	353437	0.024		Rhodococcus sp. AH-ZY2	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Rhodococcus	2023	1	24	236021	235998	24	24	100.00	100.00	YES
CP126460	353437	5.9		Rhodococcus sp. AH-ZY2	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Rhodococcus	2023	1	24	353384	353407	24	24	95.83	100.00	YES
OZ246779	89402634	5.9		Honckenya peploides	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; Caryophyllales; Caryophyllaceae; Sclerantheae; Honckenya	2025	2	21	66078642	66078661	20	24	100.00	83.00	YES
OZ246772	99273799	5.9		Honckenya peploides	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; Caryophyllales; Caryophyllaceae; Sclerantheae; Honckenya	2025	3	22	67831757	67831776	20	24	100.00	83.00	YES
OZ246772	99273799	5.9		Honckenya peploides	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; Caryophyllales; Caryophyllaceae; Sclerantheae; Honckenya	2025	3	22	67921442	67921461	20	24	100.00	83.00	YES
OZ246772	99273799	5.9		Honckenya peploides	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; Caryophyllales; Caryophyllaceae; Sclerantheae; Honckenya	2025	3	22	67949214	67949233	20	24	100.00	83.00	YES
OZ234842	13167869	5.9		Menidia menidia	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Atherinomorphae; Atheriniformes; Atherinopsidae; Menidiinae; Menidia	2025	2	21	10845472	10845491	20	24	100.00	83.00	YES
OZ123376	33977771	5.9		Epione repandaria	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Geometroidea; Geometridae; Ennominae; Epione	2024	2	21	25920497	25920516	20	24	100.00	83.00	YES
XM_040845451	606	5.9		Aspergillus sydowii CBS 593.65	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus; Aspergillus subgen. Nidulantes	2025	1	20	214	195	20	24	100.00	83.00	YES
