Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP178395	581603	0.024		Pseudomonas bubulae	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	2025	1	24	292165	292142	24	24	100.00	100.00	YES
CP131582	1595373	0.024		Photobacterium leiognathi subsp. mandapamensis	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium	2023	1	24	131822	131799	24	24	100.00	100.00	YES
CP131582	1595373	0.024		Photobacterium leiognathi subsp. mandapamensis	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium	2023	1	24	187926	187949	24	24	100.00	100.00	YES
CP131582	1595373	0.024		Photobacterium leiognathi subsp. mandapamensis	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium	2023	1	24	651312	651289	24	24	100.00	100.00	YES
CP131582	1595373	0.024		Photobacterium leiognathi subsp. mandapamensis	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium	2023	1	24	1340447	1340424	24	24	100.00	100.00	YES
CP131582	1595373	0.024		Photobacterium leiognathi subsp. mandapamensis	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium	2023	1	24	1353985	1353962	24	24	100.00	100.00	YES
CP131582	1595373	0.38		Photobacterium leiognathi subsp. mandapamensis	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium	2023	3	24	1141262	1141241	22	24	100.00	100.00	YES
CP131581	3008373	0.024		Photobacterium leiognathi subsp. mandapamensis	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium	2023	1	24	49464	49487	24	24	100.00	100.00	YES
CP131581	3008373	0.024		Photobacterium leiognathi subsp. mandapamensis	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium	2023	1	24	1391188	1391211	24	24	100.00	100.00	YES
CP131581	3008373	0.024		Photobacterium leiognathi subsp. mandapamensis	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium	2023	1	24	1667176	1667199	24	24	100.00	100.00	YES
OZ310650	59718642	5.9		Riccia beyrichiana	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Marchantiophyta; Marchantiopsida; Marchantiidae; Marchantiales; Ricciaceae; Riccia	2025	5	24	52704965	52704946	20	24	100.00	83.00	YES
CP131583	11377	5.9		Photobacterium leiognathi subsp. mandapamensis	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium	2023	1	24	11219	11242	24	24	95.83	100.00	YES
OX460436	63747022	5.9		Onychomys leucogaster	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Onychomys	2023	3	22	56944572	56944553	20	24	100.00	83.00	YES
OX460389	58164235	5.9		Onychomys leucogaster	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Onychomys	2023	3	22	51811966	51811947	20	24	100.00	83.00	YES
CP058705	4352448	5.9		Defluviicoccus sp.	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Defluviicoccus	2020	3	22	2058667	2058686	20	24	100.00	83.00	YES
