Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
PV921491	5487	0.024		Urceomyces sp.	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Rhizophydiales; Globomycetaceae; Urceomyces	2025	1	24	4677	4654	24	24	100.00	100.00	YES
PV921491	5487	0.024		Urceomyces sp.	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Rhizophydiales; Globomycetaceae; Urceomyces	2025	1	24	4752	4729	24	24	100.00	100.00	YES
OQ702852	4535	0.024		Rhizophydiales sp.	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Rhizophydiales	2023	1	24	4533	4510	24	24	100.00	100.00	YES
OQ702849	4538	0.024		Rhizophydiales sp.	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Rhizophydiales	2023	1	24	4530	4507	24	24	100.00	100.00	YES
OQ702848	4562	0.024		Rhizophydiales sp.	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Rhizophydiales	2023	1	24	4547	4524	24	24	100.00	100.00	YES
OQ702845	4891	0.024		Rhizophydiales sp.	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Rhizophydiales	2023	1	24	4889	4866	24	24	100.00	100.00	YES
PQ672685	997	0.024		Champsocephalus gunnari	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Notothenioidei; Channichthyidae; Champsocephalus	2025	1	24	9	32	24	24	100.00	100.00	YES
OZ414348	22458283	1.5		Olethreutes arcuella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Tortricoidea; Tortricidae; Olethreutinae; Olethreutini; Olethreutes	2026	1	21	9146411	9146391	21	24	100.00	88.00	YES
OZ414318	22515687	1.5		Olethreutes arcuella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Tortricoidea; Tortricidae; Olethreutinae; Olethreutini; Olethreutes	2026	1	21	9409092	9409072	21	24	100.00	88.00	YES
OZ350936	28547673	5.9		Mycale lingua	Eukaryota; Metazoa; Porifera; Demospongiae; Heteroscleromorpha; Poecilosclerida; Mycalidae; Mycale	2025	1	24	3412888	3412865	24	24	95.83	100.00	YES
OZ281563	77493360	5.9		Gryllus bimaculatus	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Orthoptera; Ensifera; Gryllidea; Grylloidea; Gryllidae; Gryllinae; Gryllus	2025	3	22	25199726	25199707	20	24	100.00	83.00	YES
CP142363	33345403	5.9		Theobroma grandiflorum	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Malvales; Malvaceae; Byttnerioideae; Theobroma	2025	1	20	2209586	2209567	20	24	100.00	83.00	YES
AP033956	109596	5.9		Humulus lupulus	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Cannabaceae; Humulus	2025	4	23	51063	51044	20	24	100.00	83.00	YES
AP033616	1486276	5.9		Humulus lupulus	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Cannabaceae; Humulus	2025	4	23	698672	698653	20	24	100.00	83.00	YES
AP032153	88856	5.9		Humulus lupulus	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Cannabaceae; Humulus	2025	4	23	79563	79544	20	24	100.00	83.00	YES
LR877233	59984821	5.9		Acomys russatus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Deomyinae; Acomys	2020	4	23	12436011	12435992	20	24	100.00	83.00	YES
CP145840	99297476	5.9		Myodes glareolus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Myodes	2026	4	23	70552410	70552391	20	24	100.00	83.00	YES
OZ373172	19263605	5.9		Aethes rubigana	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Tortricoidea; Tortricidae; Tortricinae; Aethes	2025	5	24	13872079	13872060	20	24	100.00	83.00	YES
XR_004433198	3007	5.9		Trachypithecus francoisi	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Cercopithecidae; Colobinae; Trachypithecus	2020	4	23	1702	1721	20	24	100.00	83.00	YES
XM_033194060	2994	5.9		Trachypithecus francoisi	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Cercopithecidae; Colobinae; Trachypithecus	2020	4	23	1702	1721	20	24	100.00	83.00	YES
XM_033194059	2920	5.9		Trachypithecus francoisi	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Cercopithecidae; Colobinae; Trachypithecus	2020	4	23	1702	1721	20	24	100.00	83.00	YES
XM_076836616	3117	5.9		Callospermophilus lateralis	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Callospermophilus	2025	4	23	1738	1757	20	24	100.00	83.00	YES
XM_032642980	1547	5.9		Phocoena sinus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Phocoena	2020	4	23	936	955	20	24	100.00	83.00	YES
XM_032642979	1852	5.9		Phocoena sinus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Phocoena	2020	4	23	938	957	20	24	100.00	83.00	YES
XM_030307599	2547	5.9		Lynx canadensis	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Lynx	2020	4	23	1295	1314	20	24	100.00	83.00	YES
AP022688	43195012	5.9		Epinephelus fuscoguttatus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Serranoidei; Serranidae; Epinephelinae; Epinephelini; Epinephelus	2020	1	20	18479904	18479923	20	24	100.00	83.00	YES
XM_012763370	1935	5.9		Microcebus murinus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Microcebus	2025	4	23	996	1015	20	24	100.00	83.00	YES
XR_004058011	1963	5.9		Rhinopithecus roxellana	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Cercopithecidae; Colobinae; Rhinopithecus	2019	4	23	1029	1048	20	24	100.00	83.00	YES
XM_010374572	1950	5.9		Rhinopithecus roxellana	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Cercopithecidae; Colobinae; Rhinopithecus	2019	4	23	1029	1048	20	24	100.00	83.00	YES
XR_012486209	2173	5.9		Sminthopsis crassicaudata	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Metatheria; Dasyuromorphia; Dasyuridae; Sminthopsis	2025	4	23	963	982	20	24	100.00	83.00	YES
XM_074288449	2116	5.9		Sminthopsis crassicaudata	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Metatheria; Dasyuromorphia; Dasyuridae; Sminthopsis	2025	4	23	959	978	20	24	100.00	83.00	YES
XM_074065435	3116	5.9		Castor canadensis	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Castoridae; Castor	2025	4	23	1710	1729	20	24	100.00	83.00	YES
XM_020163968	3113	5.9		Castor canadensis	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Castoridae; Castor	2025	4	23	1704	1723	20	24	100.00	83.00	YES
XR_004528051	1650	5.9		Tursiops truncatus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Tursiops	2025	4	23	984	1003	20	24	100.00	83.00	YES
XM_033862848	1895	5.9		Tursiops truncatus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Tursiops	2025	4	23	984	1003	20	24	100.00	83.00	YES
AP032660	83362	5.9		Humulus lupulus	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Cannabaceae; Humulus	2025	4	23	77195	77214	20	24	100.00	83.00	YES
OZ071101	84583009	5.9		Miniopterus schreibersii	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Miniopteridae; Miniopterus	2025	4	23	84228143	84228162	20	24	100.00	83.00	YES
XM_027938342	2741	5.9		Marmota flaviventris	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota	2025	4	23	1365	1384	20	24	100.00	83.00	YES
XM_008834083	1907	5.9		Nannospalax galili	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Spalacidae; Spalacinae; Nannospalax	2019	4	23	966	985	20	24	100.00	83.00	YES
XR_003795351	1722	5.9		Monodon monoceros	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Monodontidae; Monodon	2019	4	23	954	973	20	24	100.00	83.00	YES
XM_029234452	2475	5.9		Monodon monoceros	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Monodontidae; Monodon	2019	4	23	950	969	20	24	100.00	83.00	YES
XM_070014613	1839	5.9		Dipodomys merriami	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Heteromyidae; Dipodomyinae; Dipodomys	2024	4	23	951	970	20	24	100.00	83.00	YES
XR_003436591	1617	5.9		Sagmatias obliquidens	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Sagmatias	2025	4	23	975	994	20	24	100.00	83.00	YES
XM_027124026	1890	5.9		Sagmatias obliquidens	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Sagmatias	2025	4	23	975	994	20	24	100.00	83.00	YES
XM_026399477	2311	5.9		Urocitellus parryii	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Urocitellus	2025	4	23	925	944	20	24	100.00	83.00	YES
XM_069461424	1890	5.9		Eulemur rufifrons	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur	2024	4	23	909	928	20	24	100.00	83.00	YES
