Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
PQ672678	1380	0.024		Pleuragramma antarctica	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Notothenioidei; Nototheniidae; Pleuragramma	2025	1	24	169	146	24	24	100.00	100.00	YES
CP162593	39084	0.024		Pseudomonas sp. B26140	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	2024	1	24	39062	39039	24	24	100.00	100.00	YES
OZ076196	1022081	0.024		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	1	24	57	34	24	24	100.00	100.00	YES
OZ076178	1358589	0.024		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	1	24	448431	448408	24	24	100.00	100.00	YES
OZ076178	1358589	0.024		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	1	24	1191683	1191706	24	24	100.00	100.00	YES
OZ076178	1358589	1.5		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	4	24	448255	448275	21	24	100.00	100.00	YES
OZ076178	1358589	5.9		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	1	24	498169	498192	24	24	95.83	100.00	YES
OZ076176	1083091	0.024		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	1	24	201069	201046	24	24	100.00	100.00	YES
OZ076176	1083091	0.024		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	1	24	132041	132064	24	24	100.00	100.00	YES
OZ076176	1083091	0.024		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	1	24	539492	539515	24	24	100.00	100.00	YES
