Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP055138	4674361	5.9		Shigella flexneri	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella	2020	1	20	4503721	4503702	20	20	100.00	100.00	YES
CP055138	4674361	5.9		Shigella flexneri	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella	2020	1	20	4503728	4503747	20	20	100.00	100.00	YES
CP054892	4593694	5.9		Shigella flexneri	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella	2020	1	20	4265518	4265499	20	20	100.00	100.00	YES
CP054913	4536577	5.9		Shigella flexneri	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella	2020	1	20	2779310	2779291	20	20	100.00	100.00	YES
CP054913	4536577	5.9		Shigella flexneri	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella	2020	1	20	2779317	2779336	20	20	100.00	100.00	YES
OZ360593	34695585	5.9		Alchemilla faeroensis	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Rosoideae; Potentilleae; Fragariinae; Alchemilla	2025	1	20	10302179	10302160	20	20	100.00	100.00	YES
OZ335017	14456268	5.9		Odontosia sieversii	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Notodontidae; Ptilodontinae; Odontosia	2025	1	20	1659615	1659596	20	20	100.00	100.00	YES
OZ334891	28728368	5.9		Peregrinus maidis	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Auchenorrhyncha; Fulgoroidea; Delphacidae; Delphacinae; Peregrinus	2025	1	20	8578575	8578556	20	20	100.00	100.00	YES
OZ334867	42552914	5.9		Peregrinus maidis	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Auchenorrhyncha; Fulgoroidea; Delphacidae; Delphacinae; Peregrinus	2025	1	20	13967387	13967368	20	20	100.00	100.00	YES
CP050985	4751732	5.9		Shigella flexneri	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella	2020	1	20	4662387	4662368	20	20	100.00	100.00	YES
