Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP132755	2326984	0.024		Candidozyma auris	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Metschnikowiaceae; Candidozyma	2025	1	24	33	56	24	24	100.00	100.00	YES
CP174315	122680	0.024		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	24	104020	104043	24	24	100.00	100.00	YES
CP174315	122680	1.5		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	4	24	103397	103417	21	24	100.00	100.00	YES
PV391295	1477	0.024		Bacillus sp. (in: firmicutes)	Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus	2025	1	24	17	40	24	24	100.00	100.00	YES
PQ039555	39435	0.024		Enterobacter phage vB_Ecl_MII_004	Viruses	2024	1	24	44	67	24	24	100.00	100.00	YES
PQ039555	39435	0.024		Enterobacter phage vB_Ecl_MII_004	Viruses	2024	1	24	39404	39381	24	24	100.00	100.00	YES
XM_066114182	156	0.024		Trichoderma atroviride	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Hypocreaceae; Trichoderma	2024	1	24	6	29	24	24	100.00	100.00	YES
OZ076262	1192080	0.024		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	1	24	1192025	1192048	24	24	100.00	100.00	YES
OZ076261	1077899	0.024		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	1	24	36	59	24	24	100.00	100.00	YES
OZ076253	745111	0.024		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	1	24	745050	745073	24	24	100.00	100.00	YES
OZ076100	571055	0.024		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	1	24	571031	571054	24	24	100.00	100.00	YES
CP146782	3636	0.024		Acinetobacter baumannii	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	2024	1	24	13	36	24	24	100.00	100.00	YES
CP146782	3636	0.024		Acinetobacter baumannii	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	2024	1	24	3636	3613	24	24	100.00	100.00	YES
OR121043	1559	0.024		Cutibacterium sp.	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; Cutibacterium	2023	1	24	1523	1546	24	24	100.00	100.00	YES
OR121043	1559	0.024		Cutibacterium sp.	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; Cutibacterium	2023	1	24	35	12	24	24	100.00	100.00	YES
