Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
OZ285824	33590000	0.26		Pagellus erythrinus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Spariformes; Sparidae; Pagellus	2025	6	29	31380	31357	24	45	100.00	53.00	NO
OZ345412	36938871	1.0		Sarpa salpa	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Spariformes; Sparidae; Sarpa	2025	14	44	29929888	29929858	31	45	93.55	69.00	NO
CP044585	1078013	1.0		Nannochloropsis oceanica	Eukaryota; Sar; Stramenopiles; Ochrophyta; Eustigmatophyceae; Eustigmatales; Monodopsidaceae; Nannochloropsis	2019	23	45	286138	286116	23	45	100.00	51.00	NO
MN135770	4325	4.0		uncultured Turicimonas sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Turicimonas; environmental samples	2019	24	45	4273	4294	22	45	100.00	49.00	NO
MN135769	4168	4.0		uncultured Turicimonas sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Turicimonas; environmental samples	2019	24	45	4067	4088	22	45	100.00	49.00	NO
MN135768	4114	4.0		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	24	45	4060	4081	22	45	100.00	49.00	NO
MN135767	4379	4.0		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	24	45	4337	4358	22	45	100.00	49.00	NO
MN135766	4090	4.0		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	24	45	4029	4050	22	45	100.00	49.00	NO
MN135765	4375	4.0		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	24	45	4305	4326	22	45	100.00	49.00	NO
MN135764	4151	4.0		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	24	45	4088	4109	22	45	100.00	49.00	NO
MN135763	4135	4.0		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	24	45	4084	4105	22	45	100.00	49.00	NO
MN135762	4323	4.0		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	24	45	4276	4297	22	45	100.00	49.00	NO
PV031625	491	4.0		Anopheles freeborni	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicoidea; Culicidae; Anophelinae; Anopheles	2025	24	45	469	490	22	45	100.00	49.00	NO
