Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
OZ370718	18710218	0.38		Eriocrania cicatricella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Eriocranioidea; Eriocraniidae; Eriocrania	2025	1	22	17429955	17429976	22	24	100.00	92.00	YES
OZ370745	23318644	0.38		Eriocrania cicatricella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Eriocranioidea; Eriocraniidae; Eriocrania	2025	1	22	9589247	9589226	22	24	100.00	92.00	YES
OZ370712	22407153	0.38		Eriocrania cicatricella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Eriocranioidea; Eriocraniidae; Eriocrania	2025	1	22	9579638	9579617	22	24	100.00	92.00	YES
OZ204526	28474508	1.5		Gillmeria ochrodactyla	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Pterophoroidea; Pterophoridae; Pterophorinae; Gillmeria	2024	1	21	6426859	6426879	21	24	100.00	88.00	YES
OZ370760	15236158	1.5		Eriocrania cicatricella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Eriocranioidea; Eriocraniidae; Eriocrania	2025	1	21	689720	689740	21	24	100.00	88.00	YES
OZ370727	15845682	1.5		Eriocrania cicatricella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Eriocranioidea; Eriocraniidae; Eriocrania	2025	1	21	691342	691362	21	24	100.00	88.00	YES
OZ197273	29436942	1.5		Gillmeria pallidactyla	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Pterophoroidea; Pterophoridae; Pterophorinae; Gillmeria	2024	1	21	23192577	23192557	21	24	100.00	88.00	YES
OY737701	77564485	1.5		Chenopodium quinoa	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; Caryophyllales; Chenopodiaceae; Chenopodioideae; Atripliceae; Chenopodium	2024	4	24	27398926	27398906	21	24	100.00	88.00	YES
OZ209081	12891717	5.9		Euchoeca nebulata	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Geometroidea; Geometridae; Larentiinae; Euchoeca	2024	4	23	8681818	8681837	20	24	100.00	83.00	YES
OZ034816	55652871	5.9		Linum trigynum	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Linaceae; Linum	2024	5	24	22733461	22733480	20	24	100.00	83.00	YES
OZ370762	14093961	5.9		Eriocrania cicatricella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Eriocranioidea; Eriocraniidae; Eriocrania	2025	1	20	10101708	10101727	20	24	100.00	83.00	YES
OZ370729	13427915	5.9		Eriocrania cicatricella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Eriocranioidea; Eriocraniidae; Eriocrania	2025	1	20	9477750	9477769	20	24	100.00	83.00	YES
OZ370714	20846726	5.9		Eriocrania cicatricella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Eriocranioidea; Eriocraniidae; Eriocrania	2025	1	20	4463449	4463468	20	24	100.00	83.00	YES
OZ281073	29713154	5.9		Roeslerstammia erxlebella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Tineoidea; Roeslerstammiidae; Roeslerstammia	2025	5	24	5874487	5874468	20	24	100.00	83.00	YES
OZ370755	17151763	5.9		Eriocrania cicatricella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Eriocranioidea; Eriocraniidae; Eriocrania	2025	1	20	6675274	6675255	20	24	100.00	83.00	YES
OZ370722	16736099	5.9		Eriocrania cicatricella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Eriocranioidea; Eriocraniidae; Eriocrania	2025	1	20	6708392	6708373	20	24	100.00	83.00	YES
