Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP131579	1517676	0.024		Photobacterium leiognathi subsp. mandapamensis	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium	2023	1	24	549287	549264	24	24	100.00	100.00	YES
CP131579	1517676	0.024		Photobacterium leiognathi subsp. mandapamensis	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium	2023	1	24	1517547	1517524	24	24	100.00	100.00	YES
CP131579	1517676	0.38		Photobacterium leiognathi subsp. mandapamensis	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium	2023	1	22	969636	969615	22	24	100.00	100.00	YES
CP131579	1517676	0.38		Photobacterium leiognathi subsp. mandapamensis	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium	2023	1	22	1083299	1083278	22	24	100.00	100.00	YES
CP131578	3175708	0.024		Photobacterium leiognathi subsp. mandapamensis	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium	2023	1	24	1996881	1996904	24	24	100.00	100.00	YES
OZ209714	26128214	1.5		Pempelia palumbella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Pyraloidea; Pyralidae; Phycitinae; Pempelia	2024	2	22	22214026	22214006	21	24	100.00	88.00	YES
XM_068512534	1515	1.5		Tritrichomonas foetus	Eukaryota; Metamonada; Parabasalia; Tritrichomonadida; Tritrichomonadidae; Tritrichomonas	2024	4	24	548	528	21	24	100.00	88.00	YES
XM_068500399	1512	1.5		Tritrichomonas foetus	Eukaryota; Metamonada; Parabasalia; Tritrichomonadida; Tritrichomonadidae; Tritrichomonas	2024	4	24	545	525	21	24	100.00	88.00	YES
XM_068513762	1467	1.5		Tritrichomonas foetus	Eukaryota; Metamonada; Parabasalia; Tritrichomonadida; Tritrichomonadidae; Tritrichomonas	2024	4	24	500	480	21	24	100.00	88.00	YES
OU964921	46992527	1.5		Aplidium turbinatum	Eukaryota; Metazoa; Chordata; Tunicata; Ascidiacea; Aplousobranchia; Polyclinidae; Aplidium	2021	1	21	46146233	46146213	21	24	100.00	88.00	YES
OZ306320	13084464	1.5		Hipparchia maderensis	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Satyrinae; Satyrini; Satyrina; Hipparchia	2025	1	21	580433	580453	21	24	100.00	88.00	YES
OW121725	13624347	1.5		Hipparchia semele	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Satyrinae; Satyrini; Satyrina; Hipparchia	2022	1	21	283127	283147	21	24	100.00	88.00	YES
OZ319434	40655639	5.9		Malus sylvestris	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Maleae; Malus	2025	5	24	33465498	33465479	20	24	100.00	83.00	YES
