Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
OZ247650	20992288	1.5		Loxostege sticticalis	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Pyraloidea; Crambidae; Pyraustinae; Loxostege	2025	4	24	10768359	10768379	21	24	100.00	88.00	YES
OZ228663	35559242	1.5		Sitta europaea	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sittidae; Sitta	2025	4	24	7253922	7253902	21	24	100.00	88.00	YES
OZ228630	37362892	1.5		Sitta europaea	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sittidae; Sitta	2025	4	24	28311812	28311832	21	24	100.00	88.00	YES
OZ345922	37532464	5.9		Trachinus draco	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Percoidei; Trachinidae; Trachinus	2025	2	21	22105954	22105973	20	24	100.00	83.00	YES
OZ337060	20034033	5.9		Sympistis zetterstedtii	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Oncocnemidinae; Sympistis	2025	5	24	13774015	13774034	20	24	100.00	83.00	YES
OZ310525	38480236	5.9		Cyanistes caeruleus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Paridae; Cyanistes	2025	5	24	28651316	28651335	20	24	100.00	83.00	YES
OZ310566	37842361	5.9		Cyanistes caeruleus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Paridae; Cyanistes	2025	5	24	28404368	28404387	20	24	100.00	83.00	YES
OZ280801	9764393	5.9		Graphiphora augur	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Noctuinae; Noctuini; Graphiphora	2025	5	24	4733533	4733552	20	24	100.00	83.00	YES
OZ263580	93910409	5.9		Lysimachia maritima	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; Ericales; Primulaceae; Lysimachia	2025	1	20	78921501	78921482	20	24	100.00	83.00	YES
OZ261410	36838199	5.9		Acrocephalus paludicola	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Sylviidae; Acrocephalinae; Acrocephalus	2025	5	24	28935173	28935192	20	24	100.00	83.00	YES
