Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
OZ275902	38886235	0.38		Aphrophora moscoviciae	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Auchenorrhyncha; Cercopoidea; Aphrophoridae; Aphrophora	2025	1	22	31100759	31100780	22	24	100.00	92.00	YES
OZ409566	22486951	0.38		Caryocolum tricolorella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Gelechioidea; Gelechiidae; Gelechiinae; Caryocolum	2026	1	22	17036263	17036242	22	24	100.00	92.00	YES
OZ275898	83716932	1.5		Aphrophora moscoviciae	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Auchenorrhyncha; Cercopoidea; Aphrophoridae; Aphrophora	2025	1	21	79993951	79993971	21	24	100.00	88.00	YES
OZ275903	36587462	1.5		Aphrophora moscoviciae	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Auchenorrhyncha; Cercopoidea; Aphrophoridae; Aphrophora	2025	1	21	15872607	15872587	21	24	100.00	88.00	YES
OZ260578	90292250	1.5		Aphrophora major	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Auchenorrhyncha; Cercopoidea; Aphrophoridae; Aphrophora	2025	1	21	69086538	69086518	21	24	100.00	88.00	YES
OZ260564	90685365	1.5		Aphrophora major	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Auchenorrhyncha; Cercopoidea; Aphrophoridae; Aphrophora	2025	1	21	69452118	69452098	21	24	100.00	88.00	YES
OZ363832	77311770	5.9		Ruditapes philippinarum	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Bivalvia; Autobranchia; Heteroconchia; Euheterodonta; Imparidentia; Neoheterodontei; Venerida; Veneroidea; Veneridae; Ruditapes	2025	4	23	55017601	55017620	20	24	100.00	83.00	YES
OZ282095	63691437	5.9		Scyllarides latus	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Multicrustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Achelata; Palinuroidea; Scyllaridae; Scyllarides	2025	2	21	3003694	3003713	20	24	100.00	83.00	YES
OZ275897	91163783	5.9		Aphrophora moscoviciae	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Auchenorrhyncha; Cercopoidea; Aphrophoridae; Aphrophora	2025	3	22	33547015	33547034	20	24	100.00	83.00	YES
OZ260580	66769437	5.9		Aphrophora major	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Auchenorrhyncha; Cercopoidea; Aphrophoridae; Aphrophora	2025	1	20	64019818	64019837	20	24	100.00	83.00	YES
OZ260580	66769437	5.9		Aphrophora major	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Auchenorrhyncha; Cercopoidea; Aphrophoridae; Aphrophora	2025	1	20	11389392	11389373	20	24	100.00	83.00	YES
OZ260566	66963031	5.9		Aphrophora major	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Auchenorrhyncha; Cercopoidea; Aphrophoridae; Aphrophora	2025	1	20	64172027	64172046	20	24	100.00	83.00	YES
OZ260566	66963031	5.9		Aphrophora major	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Auchenorrhyncha; Cercopoidea; Aphrophoridae; Aphrophora	2025	1	20	11295982	11295963	20	24	100.00	83.00	YES
OZ241237	39646435	5.9		Geranium molle	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Geraniales; Geraniaceae; Geranium	2025	1	20	28178497	28178516	20	24	100.00	83.00	YES
