Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
LR738416	89080780	1.5		Lutra lutra	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Musteloidea; Mustelidae; Lutrinae; Lutra	2020	4	24	6042666	6042686	21	24	100.00	88.00	YES
OZ199618	86087657	1.5		Martes foina	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Musteloidea; Mustelidae; Guloninae; Martes	2024	4	24	83978556	83978576	21	24	100.00	88.00	YES
OY734077	90295684	1.5		Martes martes	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Musteloidea; Mustelidae; Guloninae; Martes	2023	4	24	85137596	85137616	21	24	100.00	88.00	YES
CP050572	86937822	1.5		Canis lupus familiaris	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis	2020	4	24	5298516	5298496	21	24	100.00	88.00	YES
CP050625	86945037	1.5		Canis lupus familiaris	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis	2020	4	24	5295934	5295914	21	24	100.00	88.00	YES
XR_004278849	1100	1.5		Mustela erminea	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Musteloidea; Mustelidae; Mustelinae; Mustela	2020	4	24	549	529	21	24	100.00	88.00	YES
XR_012374316	2121	1.5		Callorhinus ursinus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Pinnipedia; Otariidae; Callorhinus	2025	4	24	44	24	21	24	100.00	88.00	YES
XR_007122558	831	1.5		Lutra lutra	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Musteloidea; Mustelidae; Lutrinae; Lutra	2023	4	24	357	337	21	24	100.00	88.00	YES
HG994386	88630877	1.5		Canis lupus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis	2021	4	24	5243452	5243432	21	24	100.00	88.00	YES
OZ415860	89169788	1.5		Canis aureus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis	2026	4	24	5670737	5670717	21	24	100.00	88.00	YES
XR_003520081	1021	1.5		Zalophus californianus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Pinnipedia; Otariidae; Zalophus	2020	4	24	76	56	21	24	100.00	88.00	YES
OX596136	17631079	5.9		Epirrhoe tristata	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Geometroidea; Geometridae; Larentiinae; Epirrhoe	2023	5	24	9736688	9736707	20	24	100.00	83.00	YES
OZ224090	52761089	5.9		Syringa vulgaris	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Oleaceae; Oleeae; Syringa	2025	5	24	13513791	13513772	20	24	100.00	83.00	YES
