Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP180488	10540314	0.024		Streptomyces sp. DC-KA2	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces	2025	1	24	46	23	24	24	100.00	100.00	YES
PQ425615	1535	0.024		Nguyenibacter vanlangensis	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Nguyenibacter	2024	1	24	32	9	24	24	100.00	100.00	YES
PQ425615	1535	0.024		Nguyenibacter vanlangensis	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Nguyenibacter	2024	1	24	1498	1521	24	24	100.00	100.00	YES
CP142648	7268	0.024		Acinetobacter baumannii	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	2024	1	24	2821	2798	24	24	100.00	100.00	YES
CP142648	7268	0.024		Acinetobacter baumannii	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	2024	1	24	6505	6482	24	24	100.00	100.00	YES
CP142648	7268	0.024		Acinetobacter baumannii	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	2024	1	24	6397	6420	24	24	100.00	100.00	YES
CP141963	41643577	1.5		Malus hybrid cultivar	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Maleae; Malus	2024	4	24	19439408	19439388	21	24	100.00	88.00	YES
OZ280688	66100700	5.9		Brachythecium rutabulum	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Bryophyta; Bryophytina; Bryopsida; Bryidae; Hypnanae; Hypnales; Brachytheciaceae; Brachythecium	2025	4	23	12444935	12444916	20	24	100.00	83.00	YES
CP141920	41816381	5.9		Malus hybrid cultivar	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Maleae; Malus	2024	4	23	18939810	18939791	20	24	100.00	83.00	YES
OZ318522	66869370	5.9		Troglohyphantes giromettai	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Chelicerata; Arachnida; Araneae; Araneomorphae; Entelegynae; Araneoidea; Linyphiidae; Micronetinae; Troglohyphantes	2025	4	23	43195963	43195982	20	24	100.00	83.00	YES
OZ310498	27571238	5.9		Chelidonichthys cuculus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Triglioidei; Triglidae; Chelidonichthys	2025	1	20	10739890	10739909	20	24	100.00	83.00	YES
OZ281393	22861469	5.9		Bucculatrix thoracella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Tineoidea; Bucculatricidae; Bucculatrix	2025	4	23	108713	108732	20	24	100.00	83.00	YES
