Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP132755	2326984	0.024		Candidozyma auris	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Metschnikowiaceae; Candidozyma	2025	1	24	56	33	24	24	100.00	100.00	YES
CP174315	122680	0.024		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	24	104043	104020	24	24	100.00	100.00	YES
CP174315	122680	1.5		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	21	103417	103397	21	24	100.00	100.00	YES
PV391295	1477	0.024		Bacillus sp. (in: firmicutes)	Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus	2025	1	24	40	17	24	24	100.00	100.00	YES
PQ039555	39435	0.024		Enterobacter phage vB_Ecl_MII_004	Viruses	2024	1	24	67	44	24	24	100.00	100.00	YES
PQ039555	39435	0.024		Enterobacter phage vB_Ecl_MII_004	Viruses	2024	1	24	39381	39404	24	24	100.00	100.00	YES
XM_066114182	156	0.024		Trichoderma atroviride	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Hypocreaceae; Trichoderma	2024	1	24	29	6	24	24	100.00	100.00	YES
OZ076262	1192080	0.024		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	1	24	1192048	1192025	24	24	100.00	100.00	YES
OZ076261	1077899	0.024		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	1	24	59	36	24	24	100.00	100.00	YES
OZ076253	745111	0.024		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	1	24	745073	745050	24	24	100.00	100.00	YES
OZ076100	571055	0.024		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	1	24	571054	571031	24	24	100.00	100.00	YES
CP146782	3636	0.024		Acinetobacter baumannii	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	2024	1	24	36	13	24	24	100.00	100.00	YES
CP146782	3636	0.024		Acinetobacter baumannii	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	2024	1	24	3613	3636	24	24	100.00	100.00	YES
OR121043	1559	0.024		Cutibacterium sp.	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; Cutibacterium	2023	1	24	1546	1523	24	24	100.00	100.00	YES
OR121043	1559	0.024		Cutibacterium sp.	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; Cutibacterium	2023	1	24	12	35	24	24	100.00	100.00	YES
CP113103	6913849	0.024		Streptomyces sp. NA13	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces	2022	1	24	54	31	24	24	100.00	100.00	YES
OP272493	39247	0.024		Enterobacter phage 04_vB_Eclo_IJM	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Kayfunavirus	2022	1	24	52	29	24	24	100.00	100.00	YES
OP272493	39247	0.024		Enterobacter phage 04_vB_Eclo_IJM	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Kayfunavirus	2022	1	24	39197	39220	24	24	100.00	100.00	YES
OP272492	39290	0.024		Enterobacter phage 03_vB_Eclo_IJM	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Kayfunavirus	2022	1	24	50	27	24	24	100.00	100.00	YES
OP272491	39242	0.024		Enterobacter phage 02_vB_Eclo_IJM	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Kayfunavirus	2022	1	24	60	37	24	24	100.00	100.00	YES
OP272491	39242	0.024		Enterobacter phage 02_vB_Eclo_IJM	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autotranscriptaviridae; Studiervirinae; Kayfunavirus	2022	1	24	39212	39235	24	24	100.00	100.00	YES
NC_068139	14554	0.024		Ornithodoros phacochoerus	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Chelicerata; Arachnida; Acari; Parasitiformes; Ixodida; Ixodoidea; Argasidae; Ornithodorinae; Ornithodoros	2023	1	24	12338	12315	24	24	100.00	100.00	YES
CP084941	3886821	0.024		Trichoderma atroviride	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Hypocreaceae; Trichoderma	2022	1	24	46	23	24	24	100.00	100.00	YES
CP084941	3886821	0.024		Trichoderma atroviride	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Hypocreaceae; Trichoderma	2022	1	24	3886780	3886803	24	24	100.00	100.00	YES
CP084940	4041281	0.024		Trichoderma atroviride	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Hypocreaceae; Trichoderma	2022	1	24	58	35	24	24	100.00	100.00	YES
CP084940	4041281	0.024		Trichoderma atroviride	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Hypocreaceae; Trichoderma	2022	1	24	4041236	4041259	24	24	100.00	100.00	YES
CP084938	5267733	0.024		Trichoderma atroviride	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Hypocreaceae; Trichoderma	2022	1	24	51	28	24	24	100.00	100.00	YES
CP084938	5267733	0.024		Trichoderma atroviride	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Hypocreaceae; Trichoderma	2022	1	24	5267680	5267703	24	24	100.00	100.00	YES
CP084937	5658044	0.024		Trichoderma atroviride	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Hypocreaceae; Trichoderma	2022	1	24	46	23	24	24	100.00	100.00	YES
CP084937	5658044	0.024		Trichoderma atroviride	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Hypocreaceae; Trichoderma	2022	1	24	5658001	5658024	24	24	100.00	100.00	YES
CP084936	7088962	0.024		Trichoderma atroviride	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Hypocreaceae; Trichoderma	2022	1	24	45	22	24	24	100.00	100.00	YES
