Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP185190	32293	0.024		Klebsiella pneumoniae	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella; Klebsiella pneumoniae complex	2025	1	24	47	24	24	24	100.00	100.00	YES
CP146767	7364	0.024		Acinetobacter baumannii	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	2024	1	24	3537	3560	24	24	100.00	100.00	YES
CP146767	7364	0.024		Acinetobacter baumannii	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	2024	1	24	3648	3625	24	24	100.00	100.00	YES
CP146767	7364	0.024		Acinetobacter baumannii	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	2024	1	24	7222	7245	24	24	100.00	100.00	YES
CP146767	7364	0.024		Acinetobacter baumannii	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	2024	1	24	7330	7307	24	24	100.00	100.00	YES
NC_110934	137988	0.024		Klebsiella phage KPP2018	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudoviricetes incertae sedis; Demerecviridae; Markadamsvirinae; Tequintavirus; Tequintavirus KPP2018	2025	1	24	50554	50577	24	24	100.00	100.00	YES
PQ672677	1138	0.096		Pleuragramma antarctica	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Notothenioidei; Nototheniidae; Pleuragramma	2025	1	23	1116	1138	23	24	100.00	96.00	YES
OZ245912	41936132	1.5		Rhamphochromis sp. 'chilingali'	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini; Rhamphochromis	2025	3	23	21586717	21586697	21	24	100.00	88.00	YES
OZ289166	75283300	5.9		Daudebardia rufa	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Eupulmonata; Stylommatophora; Helicina; Gastrodontoidea; Oxychilidae; Daudebardia; Daudebardia	2025	2	21	29080130	29080149	20	24	100.00	83.00	YES
OZ263448	57402124	5.9		Thorogobius ephippiatus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Gobiaria; Gobiiformes; Gobioidei; Gobiidae; Gobiinae; Thorogobius	2025	3	22	34073599	34073580	20	24	100.00	83.00	YES
OZ247652	90891126	5.9		Eunicea knighti	Eukaryota; Metazoa; Cnidaria; Anthozoa; Octocorallia; Malacalcyonacea; Plexauridae; Eunicea	2025	4	23	50200678	50200697	20	24	100.00	83.00	YES
OZ196736	19962312	5.9		Tyta luctuosa	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Metoponiinae; Tyta	2024	2	21	19753694	19753713	20	24	100.00	83.00	YES
OZ179801	24455846	5.9		Panolis flammea	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Noctuinae; Hadenini; Panolis	2024	3	22	8666229	8666248	20	24	100.00	83.00	YES
XM_021403673	7844	5.9		Numida meleagris	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Numididae; Numida	2017	2	21	4558	4577	20	24	100.00	83.00	YES
XM_021403672	8771	5.9		Numida meleagris	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Numididae; Numida	2017	2	21	5485	5504	20	24	100.00	83.00	YES
XM_021403671	8695	5.9		Numida meleagris	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Numididae; Numida	2017	2	21	5409	5428	20	24	100.00	83.00	YES
