Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
PV921573	6348	0.024		Lacustromyces hiemalis	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Polychytriales; Polychytriales incertae sedis; Lacustromyces	2025	1	24	6068	6045	24	24	100.00	100.00	YES
CP120996	4166	0.024		Streptomyces laculatispora	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces	2023	1	24	4125	4102	24	24	100.00	100.00	YES
CP120995	4576	0.024		Streptomyces laculatispora	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces	2023	1	24	41	64	24	24	100.00	100.00	YES
OZ333938	5631	5.9		Human respiratory syncytial virus B	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Pneumoviridae; Orthopneumovirus; Orthopneumovirus hominis	2025	5	24	3537	3518	20	24	100.00	83.00	YES
OZ288547	94011513	5.9		Astragalus alpinus var. arcticus	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; NPAAA clade; Hologalegina; IRL clade; Galegeae; Astragalus	2025	5	24	70954006	70954025	20	24	100.00	83.00	YES
OZ228993	12920540	5.9		Comibaena bajularia	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Geometroidea; Geometridae; Geometrinae; Comibaena	2025	5	24	7720390	7720409	20	24	100.00	83.00	YES
XM_014652659	985	5.9		Vigna radiata var. radiata	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; NPAAA clade; indigoferoid/millettioid clade; Phaseoleae; Vigna	2017	5	24	564	545	20	24	100.00	83.00	YES
XM_014652658	1000	5.9		Vigna radiata var. radiata	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; NPAAA clade; indigoferoid/millettioid clade; Phaseoleae; Vigna	2017	5	24	579	560	20	24	100.00	83.00	YES
OZ076819	93827337	5.9		Astragalus alpinus	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; NPAAA clade; Hologalegina; IRL clade; Galegeae; Astragalus	2024	5	24	21173225	21173206	20	24	100.00	83.00	YES
OZ076763	94529594	5.9		Astragalus alpinus	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; NPAAA clade; Hologalegina; IRL clade; Galegeae; Astragalus	2024	5	24	21184515	21184496	20	24	100.00	83.00	YES
