Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP183414	106945	0.024		Promicromonospora sp. NFX87	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micrococcales; Promicromonosporaceae; Promicromonospora	2025	1	24	9	32	24	24	100.00	100.00	YES
CP183414	106945	0.024		Promicromonospora sp. NFX87	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micrococcales; Promicromonosporaceae; Promicromonospora	2025	1	24	106937	106914	24	24	100.00	100.00	YES
CP196568	2977896	0.024		Listeria monocytogenes	Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Listeriaceae; Listeria	2025	1	24	2977874	2977851	24	24	100.00	100.00	YES
CP025674	27111266	1.5		Ipomoea triloba	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Convolvulaceae; Ipomoeeae; Ipomoea	2018	4	24	2433452	2433472	21	24	100.00	88.00	YES
CP025658	23338737	1.5		Ipomoea trifida	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Convolvulaceae; Ipomoeeae; Ipomoea	2020	4	24	2123865	2123885	21	24	100.00	88.00	YES
CP136895	83288178	1.5		Canna indica	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Zingiberales; Cannaceae; Canna	2023	2	22	11755419	11755439	21	24	100.00	88.00	YES
OZ262770	19029709	5.9		Diogenes pugilator	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Multicrustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Anomura; Paguroidea; Diogenidae; Diogenes	2025	4	23	910014	910033	20	24	100.00	83.00	YES
OZ256054	18050497	5.9		Lacanobia praedita	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Noctuinae; Hadenini; Lacanobia	2025	4	23	15555081	15555100	20	24	100.00	83.00	YES
CP023115	38743218	5.9		Lupinus angustifolius	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; genistoids sensu lato; core genistoids; Genisteae; Lupinus	2017	4	23	21091589	21091608	20	24	100.00	83.00	YES
OZ071099	85516674	5.9		Miniopterus schreibersii	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Miniopteridae; Miniopterus	2025	5	24	21421313	21421294	20	24	100.00	83.00	YES
OZ077495	62891397	5.9		Themiste lageniformis	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Annelida; Sipuncula; Sipunculidea; Golfingiida; Themistidae; Themiste	2024	4	23	5272620	5272601	20	24	100.00	83.00	YES
OZ018302	27135048	5.9		Nomada goodeniana	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Aculeata; Apoidea; Anthophila; Apidae; Nomadini; Nomada	2024	1	20	2439518	2439499	20	24	100.00	83.00	YES
OW388272	10426490	5.9		Protodeltote pygarga	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Eustrotiinae; Protodeltote	2022	3	22	9423149	9423130	20	24	100.00	83.00	YES
