Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
PQ887575	697	0.024		Leptopogon amaurocephalus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Tyrannidae; Leptopogon	2025	1	24	45	68	24	24	100.00	100.00	YES
OZ188025	16383656	1.5		Cymodocea nodosa	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Cymodoceaceae; Cymodocea	2025	1	21	10864924	10864904	21	24	100.00	88.00	YES
OZ026494	30212070	1.5		Aurelia sp. 4 Dawson et al 2005	Eukaryota; Metazoa; Cnidaria; Scyphozoa; Semaeostomeae; Ulmaridae; Aurelia	2024	3	23	27951382	27951362	21	24	100.00	88.00	YES
OY804560	23089001	1.5		Spergularia marina	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; Caryophyllales; Caryophyllaceae; Sperguleae; Spergularia	2023	3	23	7184939	7184919	21	24	100.00	88.00	YES
OY734957	23087913	1.5		Spergularia bocconei	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; Caryophyllales; Caryophyllaceae; Sperguleae; Spergularia	2023	3	23	7192245	7192225	21	24	100.00	88.00	YES
OX465457	88844950	1.5		Chionomys nivalis	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Chionomys	2023	4	24	52419708	52419688	21	24	100.00	88.00	YES
OX374666	21672863	1.5		Pleuronectes platessa	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Carangaria; Pleuronectiformes; Pleuronectoidei; Pleuronectidae; Pleuronectes	2022	1	21	745971	745951	21	24	100.00	88.00	YES
OX337245	87332210	1.5		Blera fallax	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Diptera; Brachycera; Muscomorpha; Syrphoidea; Syrphidae; Eristalinae; Xylotini; Blera	2022	4	24	6279096	6279076	21	24	100.00	88.00	YES
OX337245	87332210	1.5		Blera fallax	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Diptera; Brachycera; Muscomorpha; Syrphoidea; Syrphidae; Eristalinae; Xylotini; Blera	2022	4	24	6279600	6279580	21	24	100.00	88.00	YES
CP094634	43868759	1.5		Camelina hispida	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Camelina	2022	2	22	29018257	29018237	21	24	100.00	88.00	YES
