Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
OZ247650	20992288	1.5		Loxostege sticticalis	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Pyraloidea; Crambidae; Pyraustinae; Loxostege	2025	1	21	10768379	10768359	21	24	100.00	88.00	YES
OZ228663	35559242	1.5		Sitta europaea	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sittidae; Sitta	2025	1	21	7253902	7253922	21	24	100.00	88.00	YES
OZ228630	37362892	1.5		Sitta europaea	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sittidae; Sitta	2025	1	21	28311832	28311812	21	24	100.00	88.00	YES
OZ345922	37532464	5.9		Trachinus draco	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Percoidei; Trachinidae; Trachinus	2025	4	23	22105973	22105954	20	24	100.00	83.00	YES
OZ337060	20034033	5.9		Sympistis zetterstedtii	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Oncocnemidinae; Sympistis	2025	1	20	13774034	13774015	20	24	100.00	83.00	YES
OZ310525	38480236	5.9		Cyanistes caeruleus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Paridae; Cyanistes	2025	1	20	28651335	28651316	20	24	100.00	83.00	YES
OZ310566	37842361	5.9		Cyanistes caeruleus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Paridae; Cyanistes	2025	1	20	28404387	28404368	20	24	100.00	83.00	YES
OZ280801	9764393	5.9		Graphiphora augur	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Noctuinae; Noctuini; Graphiphora	2025	1	20	4733552	4733533	20	24	100.00	83.00	YES
OZ263580	93910409	5.9		Lysimachia maritima	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; Ericales; Primulaceae; Lysimachia	2025	5	24	78921482	78921501	20	24	100.00	83.00	YES
OZ261410	36838199	5.9		Acrocephalus paludicola	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Sylviidae; Acrocephalinae; Acrocephalus	2025	1	20	28935192	28935173	20	24	100.00	83.00	YES
OZ205027	11650896	5.9		Xestia baja	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Noctuinae; Noctuini; Xestia	2024	1	20	6257991	6258010	20	24	100.00	83.00	YES
OZ204995	11994104	5.9		Xestia baja	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Noctuinae; Noctuini; Xestia	2024	1	20	6221109	6221128	20	24	100.00	83.00	YES
OZ179178	84909600	5.9		Heterocephalus glaber	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Bathyergidae; Heterocephalus	2024	5	24	20396534	20396553	20	24	100.00	83.00	YES
OZ179209	83465915	5.9		Heterocephalus glaber	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Bathyergidae; Heterocephalus	2024	5	24	20144326	20144345	20	24	100.00	83.00	YES
OZ077555	7666000	5.9		Anaplectoides prasina	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Noctuinae; Noctuini; Anaplectoides	2024	1	20	3932528	3932509	20	24	100.00	83.00	YES
