Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP132753	788239	0.024		Candidozyma auris	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Metschnikowiaceae; Candidozyma	2025	1	24	788218	788195	24	24	100.00	100.00	YES
CP132748	948626	0.024		Candidozyma auris	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Metschnikowiaceae; Candidozyma	2025	1	24	948604	948581	24	24	100.00	100.00	YES
CP132747	1553034	0.024		Candidozyma auris	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Metschnikowiaceae; Candidozyma	2025	1	24	1553000	1552977	24	24	100.00	100.00	YES
PX148644	324394	0.024		Homo sapiens	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo	2025	1	24	11	34	24	24	100.00	100.00	YES
CP174318	41385	0.024		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	24	805	782	24	24	100.00	100.00	YES
CP174317	72713	0.024		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	24	15098	15121	24	24	100.00	100.00	YES
CP174315	122680	0.024		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	24	10286	10263	24	24	100.00	100.00	YES
CP174315	122680	0.024		Microbulbifer sp. SSSA002	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	2025	1	24	122612	122635	24	24	100.00	100.00	YES
PV921575	4940	0.024		Gorgonomyces haynaldii	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Rhizophydiales; Gorgonomycetaceae; Gorgonomyces	2025	1	24	849	826	24	24	100.00	100.00	YES
PV921573	6348	0.024		Lacustromyces hiemalis	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Polychytriales; Polychytriales incertae sedis; Lacustromyces	2025	1	24	1053	1030	24	24	100.00	100.00	YES
PQ672698	1010	0.024		Paradiplospinus gracilis	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Pelagiaria; Scombriformes; Gempylidae; Paradiplospinus	2025	1	24	994	971	24	24	100.00	100.00	YES
PV789775	657	0.024		Neopestalotiopsis clavispora	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Xylariomycetidae; Amphisphaeriales; Sporocadaceae; Neopestalotiopsis	2025	1	24	34	57	24	24	100.00	100.00	YES
PV789775	657	0.024		Neopestalotiopsis clavispora	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Xylariomycetidae; Amphisphaeriales; Sporocadaceae; Neopestalotiopsis	2025	1	24	649	626	24	24	100.00	100.00	YES
PV657122	5533	0.024		Tenebrio molitor densovirus	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Quintoviricetes; Piccovirales; Parvoviridae; Densovirinae	2025	1	24	5526	5503	24	24	100.00	100.00	YES
CP184972	88931	0.024		Escherichia coli	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	2025	1	24	88887	88864	24	24	100.00	100.00	YES
PV137626	4673	0.024		Protoparvovirus sp.	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Quintoviricetes; Piccovirales; Parvoviridae; Parvovirinae; Protoparvovirus	2025	1	24	16	39	24	24	100.00	100.00	YES
PV137626	4673	0.024		Protoparvovirus sp.	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Quintoviricetes; Piccovirales; Parvoviridae; Parvovirinae; Protoparvovirus	2025	1	24	4672	4649	24	24	100.00	100.00	YES
PP841131	42412	0.024		Acinetobacter phage vB_Ab_1137_KEN_03	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus	2024	1	24	20	43	24	24	100.00	100.00	YES
PP841131	42412	0.024		Acinetobacter phage vB_Ab_1137_KEN_03	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus	2024	1	24	42359	42336	24	24	100.00	100.00	YES
OQ450247	4408	0.024		uncultured Oscillospiraceae bacterium	Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; environmental samples	2024	1	24	4379	4402	24	24	100.00	100.00	YES
OQ450206	4244	0.024		uncultured Muribaculaceae bacterium	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; environmental samples	2024	1	24	4216	4239	24	24	100.00	100.00	YES
OQ450205	4276	0.024		uncultured Muribaculaceae bacterium	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; environmental samples	2024	1	24	4214	4237	24	24	100.00	100.00	YES
OQ450204	4202	0.024		uncultured Muribaculaceae bacterium	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; environmental samples	2024	1	24	4174	4197	24	24	100.00	100.00	YES
OQ450203	4296	0.024		uncultured Muribaculaceae bacterium	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; environmental samples	2024	1	24	4253	4276	24	24	100.00	100.00	YES
OQ450197	4244	0.024		uncultured Muribaculaceae bacterium	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; environmental samples	2024	1	24	4209	4232	24	24	100.00	100.00	YES
OQ450195	4232	0.024		uncultured Muribaculaceae bacterium	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; environmental samples	2024	1	24	4207	4230	24	24	100.00	100.00	YES
OQ450194	4260	0.024		uncultured Muribaculaceae bacterium	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; environmental samples	2024	1	24	4216	4239	24	24	100.00	100.00	YES
OQ450192	4292	0.024		uncultured Muribaculaceae bacterium	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; environmental samples	2024	1	24	4230	4253	24	24	100.00	100.00	YES
OQ450191	4125	0.024		uncultured Muribaculaceae bacterium	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; environmental samples	2024	1	24	4088	4111	24	24	100.00	100.00	YES
OQ450190	4262	0.024		uncultured Muribaculaceae bacterium	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; environmental samples	2024	1	24	4219	4242	24	24	100.00	100.00	YES
OQ450188	4269	0.024		uncultured Muribaculaceae bacterium	Bacteria; Pseudomonadati; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; environmental samples	2024	1	24	4232	4255	24	24	100.00	100.00	YES
OR354837	88215	0.024		Staphylococcus phage S-CoN_Ph14	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudoviricetes incertae sedis; Sextaecvirus	2023	1	24	88189	88166	24	24	100.00	100.00	YES
