Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP165494	2065	0.003		Escherichia coli	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	2024	3	37	2064	2031	35	37	97.14	95.00	YES
CP164771	2210	0.003		Escherichia coli	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	2024	3	37	2183	2149	35	37	94.29	95.00	NO
OZ116720	495993	0.011		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2025	4	37	495993	495961	34	37	97.06	92.00	YES
OZ116917	933280	0.043		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2025	5	37	536489	536457	33	37	93.94	89.00	NO
CP169277	625107	0.67		Areca yellow leaf disease phytoplasma	Bacteria; Bacillati; Mycoplasmatota; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Candidatus Phytoplasma	2024	4	26	351584	351606	23	37	100.00	62.00	NO
OZ076171	936623	0.67		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2024	3	37	738842	738875	35	37	94.29	95.00	NO
OZ117204	499512	0.67		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2025	3	37	1	35	35	37	91.43	95.00	NO
OZ117176	1448332	0.67		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2025	3	37	1447697	1447731	35	37	91.43	95.00	NO
OZ116952	522025	0.67		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2025	3	37	521880	521913	35	37	94.29	95.00	NO
CP164331	2141	0.67		Escherichia coli	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	2024	3	37	2140	2106	35	37	91.43	95.00	NO
CP163589	36271	0.67		Escherichia coli	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	2024	3	37	36264	36230	35	37	91.43	95.00	NO
CP164073	2187	0.67		Escherichia coli	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	2024	3	37	2185	2151	35	37	91.43	95.00	NO
CP163936	2066	0.67		Escherichia coli	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	2024	3	37	2064	2030	35	37	91.43	95.00	NO
OZ116786	721875	0.67		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2025	3	37	721875	721841	35	37	91.43	95.00	NO
OZ117035	482895	2.7		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2025	4	37	1	34	34	37	91.18	92.00	NO
CP109120	155818	2.7		Streptomyces sp. NBC_01766	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces	2024	4	37	157	124	34	37	91.18	92.00	NO
OZ116889	527350	2.7		Bathycoccus prasinos	Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Bathycoccus	2025	3	37	527350	527314	37	37	91.89	95.00	NO
