Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
OP597668	585	0.024		Aspergillus flavus	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus; Aspergillus subgen. Circumdati	2022	1	24	39	16	24	24	100.00	100.00	YES
PQ672707	342	0.38		Harpagifer antarcticus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Notothenioidei; Harpagiferidae; Harpagifer	2025	1	22	257	278	22	24	100.00	92.00	YES
CP050606	80755643	5.9		Canis lupus familiaris	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis	2020	5	24	4628210	4628229	20	24	100.00	83.00	YES
OZ319746	26440511	5.9		Abraxas grossulariata	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Geometroidea; Geometridae; Ennominae; Abraxas	2025	4	23	23075523	23075542	20	24	100.00	83.00	YES
CP050637	80755819	5.9		Canis lupus familiaris	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis	2020	5	24	4628748	4628767	20	24	100.00	83.00	YES
PQ672720	458	5.9		Notothenia rossii	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Notothenioidei; Nototheniidae; Notothenia	2025	3	24	30	9	22	24	95.45	92.00	YES
OZ204853	81057344	5.9		Patella caerulea	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Patellogastropoda; Patelloidea; Patellidae; Patella	2024	3	22	28531488	28531469	20	24	100.00	83.00	YES
OZ184095	9365590	5.9		Malpolon monspessulanus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Lepidosauria; Squamata; Bifurcata; Unidentata; Episquamata; Toxicofera; Serpentes; Colubroidea; Lamprophiidae; Psammophiinae; Malpolon	2024	5	24	4135326	4135345	20	24	100.00	83.00	YES
OY735182	30221424	5.9		Microchirus variegatus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Carangaria; Pleuronectiformes; Pleuronectoidei; Soleidae; Microchirus	2023	5	24	13191428	13191447	20	24	100.00	83.00	YES
OX419720	73314859	5.9		Patella depressa	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Patellogastropoda; Patelloidea; Patellidae; Patella	2023	3	22	25512874	25512855	20	24	100.00	83.00	YES
XR_005988357	1844	5.9		Vulpes lagopus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Vulpes	2021	5	24	535	516	20	24	100.00	83.00	YES
HG994388	82288100	5.9		Canis lupus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis	2021	5	24	76111700	76111681	20	24	100.00	83.00	YES
OZ415862	82124926	5.9		Canis aureus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis	2026	5	24	76298119	76298100	20	24	100.00	83.00	YES
