Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
XR_004306635	2852	0.38		Coturnix japonica	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Perdicinae; Coturnix	2020	1	22	560	539	22	24	100.00	92.00	YES
XR_001554173	3176	0.38		Coturnix japonica	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Perdicinae; Coturnix	2020	1	22	560	539	22	24	100.00	92.00	YES
XR_001554172	4345	0.38		Coturnix japonica	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Perdicinae; Coturnix	2020	1	22	560	539	22	24	100.00	92.00	YES
XR_001554171	3520	0.38		Coturnix japonica	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Perdicinae; Coturnix	2020	1	22	560	539	22	24	100.00	92.00	YES
CP136889	22062508	0.38		Sciaenops ocellatus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Sciaenidae; Sciaenops	2023	1	22	3042782	3042761	22	24	100.00	92.00	YES
OP597667	658	0.38		Trichoderma virens	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Hypocreaceae; Trichoderma	2022	3	24	40	61	22	24	100.00	92.00	YES
OZ022207	30936755	1.5		Prunus dulcis	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2024	3	23	28026305	28026285	21	24	100.00	88.00	YES
OZ414071	22286271	1.5		Barichneumon chionomus	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Ichneumonoidea; Ichneumonidae; Ichneumoninae; Barichneumon	2026	1	21	7214336	7214356	21	24	100.00	88.00	YES
AP041339	472173	5.9		Prunus jamasakura	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2025	4	23	164224	164205	20	24	100.00	83.00	YES
AP041291	39931913	5.9		Prunus jamasakura	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2025	4	23	37138214	37138195	20	24	100.00	83.00	YES
AP041291	39931913	5.9		Prunus jamasakura	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2025	4	23	36781459	36781478	20	24	100.00	83.00	YES
AP041241	37866309	5.9		Prunus itosakura	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2025	4	23	34494209	34494190	20	24	100.00	83.00	YES
AP041241	37866309	5.9		Prunus itosakura	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2025	4	23	34874397	34874378	20	24	100.00	83.00	YES
OZ281944	22678300	5.9		Polygala serpyllifolia	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Polygalaceae; Polygala	2025	3	22	4604172	4604153	20	24	100.00	83.00	YES
OZ281077	28205433	5.9		Roeslerstammia erxlebella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Tineoidea; Roeslerstammiidae; Roeslerstammia	2025	4	23	13629145	13629126	20	24	100.00	83.00	YES
OZ281115	26774097	5.9		Notocelia cynosbatella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Tortricoidea; Tortricidae; Olethreutinae; Eucosmini; Notocelia	2025	1	20	3147324	3147305	20	24	100.00	83.00	YES
OZ278088	44480868	5.9		Prunus avium	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2025	4	23	41596524	41596505	20	24	100.00	83.00	YES
OZ278088	44480868	5.9		Prunus avium	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2025	4	23	41082404	41082423	20	24	100.00	83.00	YES
OZ278088	44480868	5.9		Prunus avium	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2025	4	23	41096112	41096131	20	24	100.00	83.00	YES
AP019298	24875702	5.9		Prunus dulcis	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2019	4	23	22312931	22312912	20	24	100.00	83.00	YES
AP038364	36550348	5.9		Prunus speciosa	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2024	4	23	33684356	33684337	20	24	100.00	83.00	YES
AP038364	36550348	5.9		Prunus speciosa	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2024	4	23	33324207	33324226	20	24	100.00	83.00	YES
OZ184543	31037358	5.9		Prunus brigantina	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2024	4	23	27996676	27996657	20	24	100.00	83.00	YES
OZ177838	33806098	5.9		Prunus armeniaca	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2024	4	23	30832623	30832604	20	24	100.00	83.00	YES
AP029590	39680074	5.9		Prunus speciosa	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2024	4	23	36822981	36822962	20	24	100.00	83.00	YES
AP029590	39680074	5.9		Prunus speciosa	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2024	4	23	36462483	36462502	20	24	100.00	83.00	YES
OZ046361	31001264	5.9		Prunus armeniaca	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2024	4	23	28071248	28071229	20	24	100.00	83.00	YES
OZ060517	27673271	5.9		Prunus padus	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2024	4	23	24349914	24349895	20	24	100.00	83.00	YES
OZ022198	31007932	5.9		Prunus dulcis	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2024	4	23	28084754	28084735	20	24	100.00	83.00	YES
OZ410359	45003651	5.9		Knipowitschia mrakovcici	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Gobiaria; Gobiiformes; Gobioidei; Gobiidae; Gobiinae; Knipowitschia	2026	1	20	17687675	17687656	20	24	100.00	83.00	YES
AP041340	430858	5.9		Prunus jamasakura	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2025	4	23	328936	328955	20	24	100.00	83.00	YES
XM_034347154	1816	5.9		Prunus dulcis	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2020	4	23	466	485	20	24	100.00	83.00	YES
OZ345243	38238288	5.9		Prunus scopulorum	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2025	4	23	2522974	2522993	20	24	100.00	83.00	YES
OZ345243	38238288	5.9		Prunus scopulorum	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2025	4	23	2873409	2873428	20	24	100.00	83.00	YES
OZ305923	25947665	5.9		Peridroma saucia	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Noctuinae; Noctuini; Peridroma	2025	3	22	12402720	12402739	20	24	100.00	83.00	YES
OZ263697	16099056	5.9		Juncus bufonius	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Juncaceae; Juncus	2025	1	20	2584240	2584259	20	24	100.00	83.00	YES
OZ251413	41642160	5.9		Gobiusculus flavescens	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Gobiaria; Gobiiformes; Gobioidei; Gobiidae; Gobiinae; Gobiusculus	2025	1	20	23476650	23476669	20	24	100.00	83.00	YES
OZ234812	37093652	5.9		Prunus ramburei	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2025	4	23	3039126	3039145	20	24	100.00	83.00	YES
AP038356	39018806	5.9		Prunus speciosa	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2024	4	23	35798830	35798849	20	24	100.00	83.00	YES
OZ060518	27204657	5.9		Prunus padus	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2024	4	23	2912348	2912367	20	24	100.00	83.00	YES
XM_021967727	1867	5.9		Prunus avium	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2017	4	23	486	505	20	24	100.00	83.00	YES
OY992834	28467151	5.9		Dryas octopetala	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Dryadoideae; Dryas	2024	4	23	3252975	3252994	20	24	100.00	83.00	YES
XM_008236206	1940	5.9		Prunus mume	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Amygdaloideae; Amygdaleae; Prunus	2016	4	23	458	477	20	24	100.00	83.00	YES
LR699029	27083924	5.9		Nibea albiflora	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Sciaenidae; Nibea	2021	3	22	2449973	2449992	20	24	100.00	83.00	YES
