Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP141439	22072	0.024		Staphylococcus aureus	Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	2024	1	24	22052	22029	24	24	100.00	100.00	YES
CP141439	22072	1.5		Staphylococcus aureus	Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	2024	1	21	34	54	21	24	100.00	100.00	YES
OZ156433	55178940	5.9		Digitaria sanguinalis	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; PACMAD clade; Panicoideae; Panicodae; Paniceae; Anthephorinae; Digitaria	2024	2	21	5607742	5607761	20	24	100.00	83.00	YES
OZ076596	18596589	5.9		Abraxas sylvata	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Geometroidea; Geometridae; Ennominae; Abraxas	2024	4	23	12261044	12261063	20	24	100.00	83.00	YES
OZ370986	24547698	5.9		Phratora vitellinae	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Cucujiformia; Chrysomeloidea; Chrysomelidae; Chrysomelinae; Chrysomelini; Phratora	2025	5	24	7560975	7560994	20	24	100.00	83.00	YES
OZ370985	26465008	5.9		Phratora vitellinae	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Cucujiformia; Chrysomeloidea; Chrysomelidae; Chrysomelinae; Chrysomelini; Phratora	2025	5	24	6532217	6532236	20	24	100.00	83.00	YES
OZ370985	26465008	5.9		Phratora vitellinae	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Cucujiformia; Chrysomeloidea; Chrysomelidae; Chrysomelinae; Chrysomelini; Phratora	2025	5	24	14758046	14758065	20	24	100.00	83.00	YES
OZ370985	26465008	5.9		Phratora vitellinae	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Cucujiformia; Chrysomeloidea; Chrysomelidae; Chrysomelinae; Chrysomelini; Phratora	2025	5	24	16637716	16637735	20	24	100.00	83.00	YES
OZ370985	26465008	5.9		Phratora vitellinae	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Cucujiformia; Chrysomeloidea; Chrysomelidae; Chrysomelinae; Chrysomelini; Phratora	2025	5	24	17350185	17350166	20	24	100.00	83.00	YES
OZ370985	26465008	5.9		Phratora vitellinae	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Cucujiformia; Chrysomeloidea; Chrysomelidae; Chrysomelinae; Chrysomelini; Phratora	2025	5	24	17586685	17586704	20	24	100.00	83.00	YES
OZ370985	26465008	5.9		Phratora vitellinae	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Cucujiformia; Chrysomeloidea; Chrysomelidae; Chrysomelinae; Chrysomelini; Phratora	2025	5	24	21775649	21775668	20	24	100.00	83.00	YES
OZ370982	29706387	5.9		Phratora vitellinae	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Cucujiformia; Chrysomeloidea; Chrysomelidae; Chrysomelinae; Chrysomelini; Phratora	2025	5	24	11279644	11279625	20	24	100.00	83.00	YES
OZ370982	29706387	5.9		Phratora vitellinae	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Cucujiformia; Chrysomeloidea; Chrysomelidae; Chrysomelinae; Chrysomelini; Phratora	2025	5	24	14152659	14152640	20	24	100.00	83.00	YES
OZ370980	33484813	5.9		Phratora vitellinae	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Cucujiformia; Chrysomeloidea; Chrysomelidae; Chrysomelinae; Chrysomelini; Phratora	2025	5	24	16401489	16401508	20	24	100.00	83.00	YES
