Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
OZ176015	93049878	1.5		Solanum nigrum	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum	2024	2	22	26147740	26147720	21	24	100.00	88.00	YES
XM_030648827	2653	1.5		Cannabis sativa	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Cannabaceae; Cannabis	2023	3	23	2251	2231	21	24	100.00	88.00	YES
XM_030648826	2656	1.5		Cannabis sativa	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Cannabaceae; Cannabis	2023	3	23	2254	2234	21	24	100.00	88.00	YES
OX388274	11607324	1.5		Anticlea derivata	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Geometroidea; Geometridae; Larentiinae; Anticlea	2022	3	23	2184325	2184305	21	24	100.00	88.00	YES
OZ311868	74090238	1.5		Steromphala pennanti	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Vetigastropoda; Trochida; Trochoidea; Trochidae; Cantharidinae; Steromphala	2025	4	24	16879598	16879578	21	24	100.00	88.00	YES
OY754302	56502651	5.9		Chironomus tentans	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Chironomoidea; Chironomidae; Chironominae; Chironomus	2023	2	21	252646	252627	20	24	100.00	83.00	YES
OX438873	13082939	5.9		Anania crocealis	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Pyraloidea; Crambidae; Pyraustinae; Anania	2023	2	21	11179810	11179791	20	24	100.00	83.00	YES
OZ415465	23476344	5.9		Microcosmus polymorphus	Eukaryota; Metazoa; Chordata; Tunicata; Ascidiacea; Stolidobranchia; Pyuridae; Microcosmus	2026	5	24	11395255	11395236	20	24	100.00	83.00	YES
OZ361257	5570560	5.9		Minutocellus sp. GHC0000111	Eukaryota; Sar; Stramenopiles; Ochrophyta; Bacillariophyta; Mediophyceae; Cymatosirophycidae; Cymatosirales; Cymatosiraceae; Minutocellus	2025	3	22	489248	489267	20	24	100.00	83.00	YES
OZ038409	24531178	5.9		Caenorhabditis brenneri	Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis	2024	2	21	10740507	10740526	20	24	100.00	83.00	YES
OZ024861	54021555	5.9		Oasisia sp. SBJ-2009	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Annelida; Polychaeta; Sedentaria; Canalipalpata; Sabellida; Siboglinidae; Oasisia	2024	3	22	48971714	48971733	20	24	100.00	83.00	YES
OU744726	71352006	5.9		Steromphala cineraria	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Vetigastropoda; Trochida; Trochoidea; Trochidae; Cantharidinae; Steromphala	2021	5	24	36753710	36753729	20	24	100.00	83.00	YES
