Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP035743	2584763	0.096		Staphylococcus pseudintermedius	Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus intermedius group	2021	1	23	1098182	1098204	23	23	100.00	100.00	YES
MW045406	5643	0.096		Norovirus GII	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norovirus norwalkense	2020	1	23	2212	2234	23	23	100.00	100.00	YES
MN135770	4325	0.096		uncultured Turicimonas sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Turicimonas; environmental samples	2019	1	23	4296	4274	23	23	100.00	100.00	YES
MN135769	4168	0.096		uncultured Turicimonas sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Turicimonas; environmental samples	2019	1	23	4090	4068	23	23	100.00	100.00	YES
MN135768	4114	0.096		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	23	4083	4061	23	23	100.00	100.00	YES
MN135767	4379	0.096		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	23	4360	4338	23	23	100.00	100.00	YES
MN135766	4090	0.096		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	23	4052	4030	23	23	100.00	100.00	YES
MN135765	4375	0.096		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	23	4328	4306	23	23	100.00	100.00	YES
MN135764	4151	0.096		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	23	4111	4089	23	23	100.00	100.00	YES
MN135763	4135	0.096		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	23	4107	4085	23	23	100.00	100.00	YES
MN135762	4323	0.096		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	23	4299	4277	23	23	100.00	100.00	YES
MW018149	4296	0.096		Nephridiophagaceae sp.	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Nephridiophagales	2021	1	23	56	34	23	23	100.00	100.00	YES
CP044585	1078013	0.38		Nannochloropsis oceanica	Eukaryota; Sar; Stramenopiles; Ochrophyta; Eustigmatophyceae; Eustigmatales; Monodopsidaceae; Nannochloropsis	2019	2	23	286115	286136	22	23	100.00	96.00	YES
ON492670	1846	0.38		Ascochyta phacae	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Didymellaceae; Ascochyta	2025	2	23	1303	1324	22	23	100.00	96.00	YES
ON492670	1846	0.38		Ascochyta phacae	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Didymellaceae; Ascochyta	2025	2	23	1185	1164	22	23	100.00	96.00	YES
ON492938	1248	0.38		Aspergillus jensenii	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus	2025	2	23	1187	1166	22	23	100.00	96.00	YES
ON492351	1510	0.38		Cladorrhinum intermedium	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Podosporaceae; Cladorrhinum	2025	2	23	1169	1148	22	23	100.00	96.00	YES
PV031625	491	0.38		Anopheles freeborni	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicoidea; Culicidae; Anophelinae; Anopheles	2025	2	23	491	470	22	23	100.00	96.00	YES
MT749989	1473	0.38		Methylobacterium sp.	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Methylobacteriaceae; Methylobacterium	2020	1	22	1470	1449	22	23	100.00	96.00	YES
ON492905	1353	1.5		Parathyridaria ramulicola	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Thyridariaceae; Parathyridaria	2025	3	23	1173	1153	21	23	100.00	91.00	YES
MW567967	3164	1.5		Hepatitis B virus	Viruses; Riboviria; Pararnavirae; Artverviricota; Revtraviricetes; Blubervirales; Hepadnaviridae; Orthohepadnavirus; Orthohepadnavirus hominoidei	2021	3	23	1823	1803	21	23	100.00	91.00	YES
OZ260428	14466631	5.9		Acontia lucida	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Acontiinae; Acontia	2025	4	23	2079071	2079090	20	23	100.00	87.00	YES
OZ280982	22681785	5.9		Archips oporana	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Tortricoidea; Tortricidae; Tortricinae; Archips	2025	2	21	17830001	17829982	20	23	100.00	87.00	YES
OZ280875	22585993	5.9		Archips oporana	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Tortricoidea; Tortricidae; Tortricinae; Archips	2025	2	21	17730218	17730199	20	23	100.00	87.00	YES
OZ260475	14386000	5.9		Acontia lucida	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Acontiinae; Acontia	2025	4	23	12290185	12290166	20	23	100.00	87.00	YES
OZ229085	27239280	5.9		Leersia oryzoides	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Leersia	2025	1	20	12663886	12663867	20	23	100.00	87.00	YES
OZ228972	27541037	5.9		Leersia oryzoides	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Leersia	2025	1	20	12696325	12696306	20	23	100.00	87.00	YES
OZ180205	62042294	5.9		Monacha cantiana	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Eupulmonata; Stylommatophora; Helicina; Helicoidea; Hygromiidae; Trochulinae; Monacha	2024	4	23	25561065	25561046	20	23	100.00	87.00	YES
