Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
OU343033	25570032	0.38		Ectemnius lituratus	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Aculeata; Apoidea; Crabronidae; Crabroninae; Crabronini; Crabronina; Ectemnius	2022	2	23	6597973	6597994	22	24	100.00	92.00	YES
OZ228658	72735089	1.5		Sitta europaea	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sittidae; Sitta	2025	2	22	8884162	8884182	21	24	100.00	88.00	YES
OZ228625	71115284	1.5		Sitta europaea	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sittidae; Sitta	2025	2	22	8907021	8907041	21	24	100.00	88.00	YES
OZ194752	84807627	1.5		Stigmatoteuthis arcturi	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Cephalopoda; Coleoidea; Decapodiformes; Oegopsida; Histioteuthidae; Stigmatoteuthis	2025	2	22	7355136	7355156	21	24	100.00	88.00	YES
OX327767	25850565	1.5		Silurus aristotelis	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Siluriformes; Siluridae; Silurus	2022	2	22	21347758	21347778	21	24	100.00	88.00	YES
CP070737	2252898	1.5		Nitrospiraceae bacterium	Bacteria; Pseudomonadati; Nitrospirota; Nitrospiria; Nitrospirales; Nitrospiraceae	2021	3	23	225724	225704	21	24	100.00	88.00	YES
OZ360155	65465036	5.9		Stenocarus ruficornis	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Cucujiformia; Curculionidae; Ceutorhynchinae; Stenocarus	2025	3	22	49135248	49135229	20	24	100.00	83.00	YES
OZ349420	21965043	5.9		Bucculatrix albedinella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Tineoidea; Bucculatricidae; Bucculatrix	2025	3	22	14352164	14352183	20	24	100.00	83.00	YES
OZ349245	21805299	5.9		Bucculatrix albedinella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Tineoidea; Bucculatricidae; Bucculatrix	2025	3	22	14358301	14358320	20	24	100.00	83.00	YES
OZ308539	59363776	5.9		Orchesella villosa	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Collembola; Entomobryomorpha; Entomobryoidea; Orchesellidae; Orchesellinae; Orchesella	2025	1	20	1595591	1595572	20	24	100.00	83.00	YES
