Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
AP041629	622791	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	622763	622740	24	24	100.00	100.00	YES
AP041628	730849	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	33	56	24	24	100.00	100.00	YES
AP041628	730849	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	258110	258133	24	24	100.00	100.00	YES
AP041628	730849	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	730822	730799	24	24	100.00	100.00	YES
AP041627	734062	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	19	42	24	24	100.00	100.00	YES
AP041626	1059229	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	40	63	24	24	100.00	100.00	YES
AP041625	1731733	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	1731732	1731709	24	24	100.00	100.00	YES
AP041624	930914	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	29	52	24	24	100.00	100.00	YES
AP041623	1699570	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	1699562	1699539	24	24	100.00	100.00	YES
AP041622	938881	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	32	55	24	24	100.00	100.00	YES
AP041622	938881	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	938861	938838	24	24	100.00	100.00	YES
AP041621	1804350	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	18	41	24	24	100.00	100.00	YES
AP041621	1804350	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	1804320	1804297	24	24	100.00	100.00	YES
AP041620	1279516	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	1279498	1279475	24	24	100.00	100.00	YES
AP041619	1322649	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	45	68	24	24	100.00	100.00	YES
AP041618	786808	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	30	53	24	24	100.00	100.00	YES
AP041618	786808	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	786789	786766	24	24	100.00	100.00	YES
AP041617	1421974	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	20	43	24	24	100.00	100.00	YES
AP041617	1421974	0.024		Rhodotorula toruloides	Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Sporidiobolales; Sporidiobolaceae; Rhodotorula	2025	1	24	1421952	1421929	24	24	100.00	100.00	YES
