Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP183414	106945	0.024		Promicromonospora sp. NFX87	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micrococcales; Promicromonosporaceae; Promicromonospora	2025	1	24	32	9	24	24	100.00	100.00	YES
CP183414	106945	0.024		Promicromonospora sp. NFX87	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micrococcales; Promicromonosporaceae; Promicromonospora	2025	1	24	106914	106937	24	24	100.00	100.00	YES
CP196568	2977896	0.024		Listeria monocytogenes	Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Listeriaceae; Listeria	2025	1	24	2977851	2977874	24	24	100.00	100.00	YES
CP025674	27111266	1.5		Ipomoea triloba	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Convolvulaceae; Ipomoeeae; Ipomoea	2018	1	21	2433472	2433452	21	24	100.00	88.00	YES
CP025658	23338737	1.5		Ipomoea trifida	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Convolvulaceae; Ipomoeeae; Ipomoea	2020	1	21	2123885	2123865	21	24	100.00	88.00	YES
CP136895	83288178	1.5		Canna indica	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Zingiberales; Cannaceae; Canna	2023	3	23	11755439	11755419	21	24	100.00	88.00	YES
OZ262770	19029709	5.9		Diogenes pugilator	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Multicrustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Anomura; Paguroidea; Diogenidae; Diogenes	2025	2	21	910033	910014	20	24	100.00	83.00	YES
OZ256054	18050497	5.9		Lacanobia praedita	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Noctuinae; Hadenini; Lacanobia	2025	2	21	15555100	15555081	20	24	100.00	83.00	YES
CP023115	38743218	5.9		Lupinus angustifolius	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; genistoids sensu lato; core genistoids; Genisteae; Lupinus	2017	2	21	21091608	21091589	20	24	100.00	83.00	YES
OZ071099	85516674	5.9		Miniopterus schreibersii	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Miniopteridae; Miniopterus	2025	1	20	21421294	21421313	20	24	100.00	83.00	YES
OZ077495	62891397	5.9		Themiste lageniformis	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Annelida; Sipuncula; Sipunculidea; Golfingiida; Themistidae; Themiste	2024	2	21	5272601	5272620	20	24	100.00	83.00	YES
OZ018302	27135048	5.9		Nomada goodeniana	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Aculeata; Apoidea; Anthophila; Apidae; Nomadini; Nomada	2024	5	24	2439499	2439518	20	24	100.00	83.00	YES
OW388272	10426490	5.9		Protodeltote pygarga	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Eustrotiinae; Protodeltote	2022	3	22	9423130	9423149	20	24	100.00	83.00	YES
