Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
OL739525	151825	3.75e-23		Escherichia phage dw-ec	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudoviricetes incertae sedis; Stephanstirmvirinae; Phapecoctavirus	2022	1	61	85	25	61	61	100.00	100.00	YES
OL739525	151825	1.27e-10		Escherichia phage dw-ec	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudoviricetes incertae sedis; Stephanstirmvirinae; Phapecoctavirus	2022	11	61	151744	151693	52	61	96.15	100.00	YES
OL739525	151825	1.18e-04		Escherichia phage dw-ec	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudoviricetes incertae sedis; Stephanstirmvirinae; Phapecoctavirus	2022	5	34	151796	151825	30	61	100.00	100.00	YES
OL739525	151825	0.007		Escherichia phage dw-ec	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudoviricetes incertae sedis; Stephanstirmvirinae; Phapecoctavirus	2022	13	39	136	162	27	61	100.00	100.00	YES
MN385595	1225	1.37e-16		Lymnaea stagnalis	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Hygrophila; Lymnaeoidea; Lymnaeidae; Lymnaea	2020	12	61	3	52	50	61	100.00	82.00	YES
ON492670	1846	8.48e-15		Ascochyta phacae	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Didymellaceae; Ascochyta	2025	11	61	1785	1735	51	61	98.04	95.00	YES
ON492670	1846	3.11e-08		Ascochyta phacae	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Didymellaceae; Ascochyta	2025	4	39	1267	1302	36	61	100.00	95.00	YES
ON492938	1248	1.92e-06		Aspergillus jensenii	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus	2025	1	33	1227	1195	33	61	100.00	54.00	NO
MN135767	4379	4.67e-04		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	16	61	36	87	52	61	88.46	75.00	NO
ON492331	1581	0.002		Kockovaella calophylli	Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Cuniculitremaceae; Kockovaella	2025	12	39	1253	1226	28	61	100.00	46.00	NO
MN135768	4114	0.002		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	17	61	37	87	51	61	88.23	75.00	NO
MN135768	4114	0.029		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	16	41	4113	4088	26	61	100.00	75.00	NO
OQ702845	4891	0.002		Rhizophydiales sp.	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Rhizophydiales	2023	14	41	9	36	28	61	100.00	46.00	NO
AP039753	251332	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	57	32	26	61	100.00	43.00	NO
AP039753	251332	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	251289	251314	26	61	100.00	43.00	NO
AP039752	169514	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	61	36	26	61	100.00	43.00	NO
AP039752	169514	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	169465	169490	26	61	100.00	43.00	NO
AP039751	239633	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	54	29	26	61	100.00	43.00	NO
AP039751	239633	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	239579	239604	26	61	100.00	43.00	NO
AP039750	249033	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	56	31	26	61	100.00	43.00	NO
AP039750	249033	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	248978	249003	26	61	100.00	43.00	NO
AP039749	258927	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	55	30	26	61	100.00	43.00	NO
AP039749	258927	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	258884	258909	26	61	100.00	43.00	NO
AP039748	260740	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	55	30	26	61	100.00	43.00	NO
AP039748	260740	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	260689	260714	26	61	100.00	43.00	NO
AP039747	264990	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	52	27	26	61	100.00	43.00	NO
AP039747	264990	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	264927	264952	26	61	100.00	43.00	NO
AP039746	268338	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	43	18	26	61	100.00	43.00	NO
AP039746	268338	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	268289	268314	26	61	100.00	43.00	NO
AP039745	271441	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	74	49	26	61	100.00	43.00	NO
AP039745	271441	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	271377	271402	26	61	100.00	43.00	NO
AP039745	271441	7.0		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	20	41	23	2	22	61	100.00	43.00	NO
AP039744	297862	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	55	30	26	61	100.00	43.00	NO
AP039744	297862	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	297811	297836	26	61	100.00	43.00	NO
AP039743	298851	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	43	18	26	61	100.00	43.00	NO
AP039743	298851	0.11		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	17	41	298803	298827	25	61	100.00	43.00	NO
AP039742	306632	0.029		Saitoella coloradoensis	Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycotina incertae sedis; Saitoella	2025	16	41	40	15	26	61	100.00	43.00	NO
