Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
LR778268	54025139	5.9		Coregonus sp. 'balchen'	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Protacanthopterygii; Salmoniformes; Salmonidae; Coregoninae; Coregonus	2020	3	22	42489459	42489478	20	24	100.00	83.00	YES
OZ182177	51821244	5.9		Coregonus lavaretus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Protacanthopterygii; Salmoniformes; Salmonidae; Coregoninae; Coregonus	2024	3	22	39667091	39667110	20	24	100.00	83.00	YES
OX596234	60847996	5.9		Salicornia ramosissima	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; Caryophyllales; Chenopodiaceae; Salicornioideae; Salicornia; Salicornia subgen. Salicornia	2023	3	22	30421499	30421518	20	24	100.00	83.00	YES
OX460899	66632817	5.9		Onychomys torridus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Onychomys	2023	4	23	47356458	47356477	20	24	100.00	83.00	YES
OX460459	83921992	5.9		Onychomys arenicola	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Onychomys	2023	4	23	37392594	37392613	20	24	100.00	83.00	YES
OX460435	81335959	5.9		Onychomys leucogaster	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Onychomys	2023	4	23	57378460	57378479	20	24	100.00	83.00	YES
OX460364	80525999	5.9		Onychomys arenicola	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Onychomys	2023	4	23	56514390	56514409	20	24	100.00	83.00	YES
OX460388	87016667	5.9		Onychomys leucogaster	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Onychomys	2023	4	23	62432071	62432090	20	24	100.00	83.00	YES
OQ064066	1489	5.9		Pasteurella multocida	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurella	2022	1	24	1456	1479	24	24	95.83	100.00	YES
LR877205	66632817	5.9		Onychomys torridus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Onychomys	2020	4	23	47356458	47356477	20	24	100.00	83.00	YES
