Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP044585	1078013	5.9		Nannochloropsis oceanica	Eukaryota; Sar; Stramenopiles; Ochrophyta; Eustigmatophyceae; Eustigmatales; Monodopsidaceae; Nannochloropsis	2019	1	20	286117	286136	20	20	100.00	100.00	YES
OZ260428	14466631	5.9		Acontia lucida	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Acontiinae; Acontia	2025	1	20	2079071	2079090	20	20	100.00	100.00	YES
ON492670	1846	5.9		Ascochyta phacae	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Didymellaceae; Ascochyta	2025	1	20	1305	1324	20	20	100.00	100.00	YES
ON492670	1846	5.9		Ascochyta phacae	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Didymellaceae; Ascochyta	2025	1	20	1183	1164	20	20	100.00	100.00	YES
CP035743	2584763	5.9		Staphylococcus pseudintermedius	Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus intermedius group	2021	1	20	1098185	1098204	20	20	100.00	100.00	YES
MW045406	5643	5.9		Norovirus GII	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norovirus norwalkense	2020	1	20	2215	2234	20	20	100.00	100.00	YES
OZ260475	14386000	5.9		Acontia lucida	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Acontiinae; Acontia	2025	1	20	12290185	12290166	20	20	100.00	100.00	YES
ON492938	1248	5.9		Aspergillus jensenii	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus	2025	1	20	1185	1166	20	20	100.00	100.00	YES
ON492905	1353	5.9		Parathyridaria ramulicola	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Thyridariaceae; Parathyridaria	2025	1	20	1172	1153	20	20	100.00	100.00	YES
ON492351	1510	5.9		Cladorrhinum intermedium	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Podosporaceae; Cladorrhinum	2025	1	20	1167	1148	20	20	100.00	100.00	YES
MN135770	4325	5.9		uncultured Turicimonas sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Turicimonas; environmental samples	2019	1	20	4293	4274	20	20	100.00	100.00	YES
MN135769	4168	5.9		uncultured Turicimonas sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Turicimonas; environmental samples	2019	1	20	4087	4068	20	20	100.00	100.00	YES
MN135768	4114	5.9		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	20	4080	4061	20	20	100.00	100.00	YES
MN135767	4379	5.9		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	20	4357	4338	20	20	100.00	100.00	YES
MN135766	4090	5.9		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	20	4049	4030	20	20	100.00	100.00	YES
MN135765	4375	5.9		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	20	4325	4306	20	20	100.00	100.00	YES
MN135764	4151	5.9		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	20	4108	4089	20	20	100.00	100.00	YES
MN135763	4135	5.9		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	20	4104	4085	20	20	100.00	100.00	YES
MN135762	4323	5.9		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	1	20	4296	4277	20	20	100.00	100.00	YES
PV031625	491	5.9		Anopheles freeborni	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicoidea; Culicidae; Anophelinae; Anopheles	2025	1	20	489	470	20	20	100.00	100.00	YES
OZ180205	62042294	5.9		Monacha cantiana	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Eupulmonata; Stylommatophora; Helicina; Helicoidea; Hygromiidae; Trochulinae; Monacha	2024	1	20	25561065	25561046	20	20	100.00	100.00	YES
MW567967	3164	5.9		Hepatitis B virus	Viruses; Riboviria; Pararnavirae; Artverviricota; Revtraviricetes; Blubervirales; Hepadnaviridae; Orthohepadnavirus; Orthohepadnavirus hominoidei	2021	1	20	1822	1803	20	20	100.00	100.00	YES
MW018149	4296	5.9		Nephridiophagaceae sp.	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Nephridiophagales	2021	1	20	53	34	20	20	100.00	100.00	YES
