Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
ON492670	1846	2.31e-21		Ascochyta phacae	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Didymellaceae; Ascochyta	2025	4	61	1267	1324	58	61	100.00	95.00	YES
ON492670	1846	2.99e-05		Ascochyta phacae	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Didymellaceae; Ascochyta	2025	16	61	1210	1164	47	61	93.62	95.00	NO
ON492670	1846	0.11		Ascochyta phacae	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Didymellaceae; Ascochyta	2025	11	39	1785	1757	29	61	96.55	95.00	YES
ON492938	1248	8.16e-12		Aspergillus jensenii	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus	2025	1	61	1227	1166	62	61	93.55	100.00	NO
ON492905	1353	3.23e-11		Parathyridaria ramulicola	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Thyridariaceae; Parathyridaria	2025	13	61	1201	1153	49	61	95.92	80.00	YES
OL739525	151825	3.23e-11		Escherichia phage dw-ec	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudoviricetes incertae sedis; Stephanstirmvirinae; Phapecoctavirus	2022	13	53	136	176	41	61	100.00	87.00	YES
OL739525	151825	5.04e-10		Escherichia phage dw-ec	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudoviricetes incertae sedis; Stephanstirmvirinae; Phapecoctavirus	2022	1	39	85	47	39	61	100.00	87.00	YES
OL739525	151825	1.18e-04		Escherichia phage dw-ec	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudoviricetes incertae sedis; Stephanstirmvirinae; Phapecoctavirus	2022	5	34	151796	151825	30	61	100.00	87.00	YES
OL739525	151825	4.67e-04		Escherichia phage dw-ec	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudoviricetes incertae sedis; Stephanstirmvirinae; Phapecoctavirus	2022	11	39	151744	151716	29	61	100.00	87.00	YES
ON492924	1715	1.18e-04		Rachicladosporium monterosium	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Dothideomycetidae; Cladosporiales; Cladosporiaceae; Rachicladosporium	2025	23	61	1215	1175	41	61	95.12	64.00	NO
MN385595	1225	0.002		Lymnaea stagnalis	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Hygrophila; Lymnaeoidea; Lymnaeidae; Lymnaea	2020	12	39	3	30	28	61	100.00	46.00	NO
ON492331	1581	0.002		Kockovaella calophylli	Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Cuniculitremaceae; Kockovaella	2025	12	39	1253	1226	28	61	100.00	46.00	NO
ON492351	1510	0.007		Cladorrhinum intermedium	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Podosporaceae; Cladorrhinum	2025	35	61	1174	1148	27	61	100.00	44.00	NO
MN135768	4114	0.007		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	16	61	4113	4061	53	61	86.79	75.00	NO
MN135768	4114	1.8		uncultured Parasutterella sp.	Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; environmental samples	2019	17	39	37	59	23	61	100.00	75.00	NO
OQ450246	4398	0.029		uncultured Oscillospiraceae bacterium	Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; environmental samples	2024	16	41	4396	4371	26	61	100.00	43.00	NO
OQ702845	4891	0.029		Rhizophydiales sp.	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Rhizophydiales	2023	14	39	9	34	26	61	100.00	43.00	NO
ON492866	1302	0.11		Catenulostroma hermanusense	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Dothideomycetidae; Mycosphaerellales; Teratosphaeriaceae; Catenulostroma	2025	3	27	42	66	25	61	100.00	41.00	NO
