Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
PV921562	4989	0.024		Siphonaria sp. (in: chytrids)	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Chytridiales; Chytriomycetaceae; Siphonaria	2025	1	24	4937	4914	24	24	100.00	100.00	YES
PV921562	4989	0.024		Siphonaria sp. (in: chytrids)	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Chytridiales; Chytriomycetaceae; Siphonaria	2025	1	24	4986	4963	24	24	100.00	100.00	YES
PV921489	6335	0.024		Chytriomycetaceae sp.	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Chytridiales; Chytriomycetaceae	2025	1	24	5418	5395	24	24	100.00	100.00	YES
CP191294	31100	0.024		Enterococcus faecalis	Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	2025	1	24	31050	31073	24	24	100.00	100.00	YES
OQ702860	4571	0.024		Rhizophydiales sp.	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Rhizophydiales	2023	1	24	4560	4537	24	24	100.00	100.00	YES
OQ702859	4662	0.024		Aphelidiaceae sp.	Eukaryota; Aphelida; Aphelidea; Aphelidiaceae	2023	1	24	4662	4639	24	24	100.00	100.00	YES
OQ702855	4832	0.024		Rhizophydiales sp.	Eukaryota; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Rhizophydiales	2023	1	24	4832	4809	24	24	100.00	100.00	YES
PQ672686	997	0.38		Champsocephalus gunnari	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Notothenioidei; Channichthyidae; Champsocephalus	2025	1	24	989	966	24	24	95.83	100.00	YES
LS420026	29704041	5.9		Astatotilapia calliptera	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini; Astatotilapia	2024	4	23	17729112	17729131	20	24	100.00	83.00	YES
LS420040	44689389	5.9		Astatotilapia calliptera	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini; Astatotilapia	2024	5	24	6341618	6341637	20	24	100.00	83.00	YES
OZ245969	41313859	5.9		Tropheops sp. 'mauve'	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini; Tropheops	2025	5	24	6517310	6517329	20	24	100.00	83.00	YES
OZ245955	31003463	5.9		Tropheops sp. 'mauve'	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini; Tropheops	2025	4	23	18194926	18194945	20	24	100.00	83.00	YES
OZ245919	43936459	5.9		Rhamphochromis sp. 'chilingali'	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini; Rhamphochromis	2025	5	24	6439922	6439941	20	24	100.00	83.00	YES
OZ245905	31468198	5.9		Rhamphochromis sp. 'chilingali'	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini; Rhamphochromis	2025	4	23	18661408	18661427	20	24	100.00	83.00	YES
OZ245587	32394120	5.9		Aulonocara stuartgranti	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini; Aulonocara	2025	4	23	18354424	18354443	20	24	100.00	83.00	YES
OZ245601	53973796	5.9		Aulonocara stuartgranti	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini; Aulonocara	2025	5	24	6831031	6831050	20	24	100.00	83.00	YES
OZ238990	31723485	5.9		Diplotaxodon limnothrissa	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini; Diplotaxodon	2025	4	23	18523134	18523153	20	24	100.00	83.00	YES
OZ238971	48655900	5.9		Diplotaxodon limnothrissa	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini; Diplotaxodon	2025	5	24	6614813	6614832	20	24	100.00	83.00	YES
OZ238930	28209768	5.9		Diplotaxodon limnothrissa	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini; Diplotaxodon	2025	4	23	17528440	17528459	20	24	100.00	83.00	YES
OZ206513	49858702	5.9		Astatotilapia calliptera	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini; Astatotilapia	2024	5	24	6769028	6769047	20	24	100.00	83.00	YES
OZ206499	31323313	5.9		Astatotilapia calliptera	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini; Astatotilapia	2024	4	23	18261639	18261658	20	24	100.00	83.00	YES
OY755037	29974929	5.9		Neolamprologus multifasciatus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Lamprologini; Neolamprologus	2024	4	23	17850579	17850598	20	24	100.00	83.00	YES
OY755018	43401303	5.9		Neolamprologus multifasciatus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Lamprologini; Neolamprologus	2024	5	24	6964776	6964795	20	24	100.00	83.00	YES
