Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
LR738416	89080780	1.5		Lutra lutra	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Musteloidea; Mustelidae; Lutrinae; Lutra	2020	1	21	6042686	6042666	21	24	100.00	88.00	YES
OZ199618	86087657	1.5		Martes foina	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Musteloidea; Mustelidae; Guloninae; Martes	2024	1	21	83978576	83978556	21	24	100.00	88.00	YES
OY734077	90295684	1.5		Martes martes	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Musteloidea; Mustelidae; Guloninae; Martes	2023	1	21	85137616	85137596	21	24	100.00	88.00	YES
CP050572	86937822	1.5		Canis lupus familiaris	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis	2020	1	21	5298496	5298516	21	24	100.00	88.00	YES
CP050625	86945037	1.5		Canis lupus familiaris	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis	2020	1	21	5295914	5295934	21	24	100.00	88.00	YES
XR_004278849	1100	1.5		Mustela erminea	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Musteloidea; Mustelidae; Mustelinae; Mustela	2020	1	21	529	549	21	24	100.00	88.00	YES
XR_012374316	2121	1.5		Callorhinus ursinus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Pinnipedia; Otariidae; Callorhinus	2025	1	21	24	44	21	24	100.00	88.00	YES
XR_007122558	831	1.5		Lutra lutra	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Musteloidea; Mustelidae; Lutrinae; Lutra	2023	1	21	337	357	21	24	100.00	88.00	YES
HG994386	88630877	1.5		Canis lupus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis	2021	1	21	5243432	5243452	21	24	100.00	88.00	YES
OZ415860	89169788	1.5		Canis aureus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis	2026	1	21	5670717	5670737	21	24	100.00	88.00	YES
XR_003520081	1021	1.5		Zalophus californianus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Pinnipedia; Otariidae; Zalophus	2020	1	21	56	76	21	24	100.00	88.00	YES
OX596136	17631079	5.9		Epirrhoe tristata	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Geometroidea; Geometridae; Larentiinae; Epirrhoe	2023	1	20	9736707	9736688	20	24	100.00	83.00	YES
OZ224090	52761089	5.9		Syringa vulgaris	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Oleaceae; Oleeae; Syringa	2025	1	20	13513772	13513791	20	24	100.00	83.00	YES
