Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
OZ243169	92899795	1.5		Lotus pedunculatus	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; NPAAA clade; Hologalegina; robinioid clade; Loteae; Lotus	2025	2	22	81669475	81669495	21	24	100.00	88.00	YES
LR606181	85456622	1.5		Aquila chrysaetos chrysaetos	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Accipitrimorphae; Accipitriformes; Accipitridae; Accipitrinae; Aquila	2021	2	22	76369916	76369936	21	24	100.00	88.00	YES
OZ077814	86023716	1.5		Calonectris borealis	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Aequornithes; Procellariiformes; Procellariidae; Calonectris	2024	2	22	76789700	76789720	21	24	100.00	88.00	YES
OZ077775	86671854	1.5		Calonectris borealis	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Aequornithes; Procellariiformes; Procellariidae; Calonectris	2024	2	22	77681246	77681266	21	24	100.00	88.00	YES
OZ076920	86323074	1.5		Buteo buteo	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Accipitrimorphae; Accipitriformes; Accipitridae; Accipitrinae; Buteo	2024	2	22	77293860	77293880	21	24	100.00	88.00	YES
OX381636	85729264	1.5		Haliaeetus albicilla	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Accipitrimorphae; Accipitriformes; Accipitridae; Accipitrinae; Haliaeetus	2022	2	22	1071246	1071266	21	24	100.00	88.00	YES
LR899736	158875	1.5		Darwinula stevensoni	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Oligostraca; Ostracoda; Podocopa; Podocopida; Darwinulocopina; Darwinuloidea; Darwinulidae; Darwinula	2020	2	22	126351	126371	21	24	100.00	88.00	YES
OZ390104	86525292	1.5		Accipiter nisus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Accipitrimorphae; Accipitriformes; Accipitridae; Accipitrinae; Accipiter	2026	2	22	23032444	23032464	21	24	100.00	88.00	YES
OZ390072	87012653	1.5		Accipiter nisus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Accipitrimorphae; Accipitriformes; Accipitridae; Accipitrinae; Accipiter	2026	2	22	23285258	23285278	21	24	100.00	88.00	YES
OZ374280	74376508	1.5		Lotus subbiflorus	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; NPAAA clade; Hologalegina; robinioid clade; Loteae; Lotus	2025	2	22	65260682	65260702	21	24	100.00	88.00	YES
OZ337613	87398943	1.5		Haematopus ostralegus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Charadriiformes; Haematopodidae; Haematopus	2025	2	22	9877850	9877830	21	24	100.00	88.00	YES
OZ337580	85971649	1.5		Haematopus ostralegus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Charadriiformes; Haematopodidae; Haematopus	2025	2	22	10157112	10157092	21	24	100.00	88.00	YES
OV839373	37312042	1.5		Astur gentilis	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Accipitrimorphae; Accipitriformes; Accipitridae; Accipitrinae; Astur	2022	2	22	14893740	14893720	21	24	100.00	88.00	YES
OZ318813	25241211	5.9		Aulostomus maculatus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Syngnathiaria; Syngnathiformes; Syngnathiformes incertae sedis; Aulostomidae; Aulostomus	2025	2	21	19390222	19390241	20	24	100.00	83.00	YES
OZ249340	7678644	5.9		Spheciospongia papillosa	Eukaryota; Metazoa; Porifera; Demospongiae; Heteroscleromorpha; Clionaida; Spirastrellidae; Spheciospongia	2025	1	24	1977307	1977330	24	24	95.83	100.00	YES
OZ249340	7678644	5.9		Spheciospongia papillosa	Eukaryota; Metazoa; Porifera; Demospongiae; Heteroscleromorpha; Clionaida; Spirastrellidae; Spheciospongia	2025	1	24	1977784	1977807	24	24	95.83	100.00	YES
OZ249309	8312145	5.9		Spheciospongia papillosa	Eukaryota; Metazoa; Porifera; Demospongiae; Heteroscleromorpha; Clionaida; Spirastrellidae; Spheciospongia	2025	1	24	2016476	2016499	24	24	95.83	100.00	YES
OZ005709	38007505	5.9		Labrus bergylta	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Labriformes; Labridae; Labrus	2024	4	23	33099234	33099253	20	24	100.00	83.00	YES
XM_061681983	9271	5.9		Phycodurus eques	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Syngnathiaria; Syngnathiformes; Syngnathoidei; Syngnathidae; Phycodurus	2023	3	22	735	754	20	24	100.00	83.00	YES
OY744604	97665200	5.9		Allolobophora icterica	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Annelida; Clitellata; Oligochaeta; Crassiclitellata; Lumbricina; Lumbricidae; Lumbricinae; Allolobophora	2023	3	22	78232588	78232607	20	24	100.00	83.00	YES
OY741303	29244387	5.9		Chelon labrosus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Mugilomorphae; Mugilidae; Chelon	2023	1	20	20910113	20910132	20	24	100.00	83.00	YES
OX589609	30009030	5.9		Polia nebulosa	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Noctuinae; Hadenini; Polia	2023	3	22	8784410	8784429	20	24	100.00	83.00	YES
CP118760	32838119	5.9		Andrena camellia	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Aculeata; Apoidea; Anthophila; Andrenidae; Andreninae; Andrena	2023	3	22	7765921	7765940	20	24	100.00	83.00	YES
OX336888	29585169	5.9		Argyrosomus regius	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Sciaenidae; Argyrosomus	2022	5	24	12495297	12495316	20	24	100.00	83.00	YES
OZ319516	27587781	5.9		Amphidium mougeotii	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Bryophyta; Bryophytina; Bryopsida; Bryidae; Bryanae; Orthotrichales; Orthotrichaceae; Amphidium	2025	1	24	8889879	8889856	24	24	95.83	100.00	YES
OZ199647	33536837	5.9		Scolopax rusticola	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Charadriiformes; Scolopacidae; Scolopax	2025	1	24	10285169	10285146	24	24	95.83	100.00	YES
OZ224411	28248705	5.9		Eriphia verrucosa	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Multicrustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Brachyura; Eubrachyura; Xanthoidea; Eriphiidae; Eriphia	2025	1	20	23282158	23282139	20	24	100.00	83.00	YES
AP039587	96078044	5.9		Bradybaena similaris	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Eupulmonata; Stylommatophora; Helicina; Camaenoidea; Camaenidae; Bradybaeninae; Bradybaena	2025	3	22	88718387	88718368	20	24	100.00	83.00	YES
OZ199128	67443240	5.9		Americardia media	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Bivalvia; Autobranchia; Heteroconchia; Euheterodonta; Imparidentia; Neoheterodontei; Cardiida; Cardioidea; Cardiidae; Fraginae; Americardia	2024	1	20	44513116	44513097	20	24	100.00	83.00	YES
OZ125649	75443792	5.9		Staphylinus erythropterus	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Staphyliniformia; Staphylinidae; Staphylininae group; Staphylininae; Staphylinini; Staphylinus	2024	5	24	42034273	42034254	20	24	100.00	83.00	YES
OZ077317	33141368	5.9		Gorgonia ventalina	Eukaryota; Metazoa; Cnidaria; Anthozoa; Octocorallia; Malacalcyonacea; Gorgoniidae; Gorgonia	2024	1	20	11319566	11319547	20	24	100.00	83.00	YES
OY998240	89187896	5.9		Cornus suecica	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; Cornales; Cornaceae; Cornus	2024	3	22	10322374	10322355	20	24	100.00	83.00	YES
CP129443	54407212	5.9		Quercus variabilis	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fagales; Fagaceae; Quercus	2023	3	22	36935515	36935496	20	24	100.00	83.00	YES
CP129443	54407212	5.9		Quercus variabilis	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fagales; Fagaceae; Quercus	2023	3	22	36938764	36938745	20	24	100.00	83.00	YES
CP129443	54407212	5.9		Quercus variabilis	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fagales; Fagaceae; Quercus	2023	3	22	36956131	36956112	20	24	100.00	83.00	YES
OZ413772	36595998	5.9		Labrus viridis	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Labriformes; Labridae; Labrus	2026	4	23	4266059	4266040	20	24	100.00	83.00	YES
