Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
LC541900	56467	0.024		Plasmodium berghei ANKA	Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Vinckeia)	2020	1	24	56447	56424	24	24	100.00	100.00	YES
LC541898	50615	0.024		Plasmodium berghei ANKA	Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Vinckeia)	2020	1	24	50594	50571	24	24	100.00	100.00	YES
LC541896	25543	0.024		Plasmodium berghei ANKA	Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Vinckeia)	2020	1	24	25522	25499	24	24	100.00	100.00	YES
LC541895	52601	0.024		Plasmodium berghei ANKA	Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Vinckeia)	2020	1	24	36	59	24	24	100.00	100.00	YES
LC541894	40836	0.024		Plasmodium berghei ANKA	Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Vinckeia)	2020	1	24	40815	40792	24	24	100.00	100.00	YES
LC541893	72398	0.024		Plasmodium berghei ANKA	Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Vinckeia)	2020	1	24	39	62	24	24	100.00	100.00	YES
LC541888	50824	0.024		Plasmodium berghei ANKA	Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Vinckeia)	2020	1	24	50803	50780	24	24	100.00	100.00	YES
LC541887	33841	0.024		Plasmodium berghei ANKA	Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Vinckeia)	2020	1	24	33821	33798	24	24	100.00	100.00	YES
LC541880	38532	0.024		Plasmodium berghei ANKA	Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Vinckeia)	2020	1	24	38519	38496	24	24	100.00	100.00	YES
LC541876	61089	0.024		Plasmodium berghei ANKA	Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Vinckeia)	2020	1	24	39	62	24	24	100.00	100.00	YES
