Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
LC403430	233	2.49e-04		uncultured prokaryote	unclassified sequences; environmental samples	2018	1	28	132	105	28	28	100.00	100.00	YES
LC402370	194	2.49e-04		uncultured prokaryote	unclassified sequences; environmental samples	2018	1	28	186	159	28	28	100.00	100.00	YES
LC402218	216	2.49e-04		uncultured prokaryote	unclassified sequences; environmental samples	2018	1	28	141	114	28	28	100.00	100.00	YES
LT963441	2426012	2.49e-04		Staphylococcus haemolyticus	Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	2018	1	28	2420757	2420730	28	28	100.00	100.00	YES
LT963440	2712839	2.49e-04		Staphylococcus cohnii	Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus cohnii species complex	2018	1	28	2662751	2662724	28	28	100.00	100.00	YES
LT963439	2781432	2.49e-04		Staphylococcus xylosus	Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	2018	1	28	2770440	2770413	28	28	100.00	100.00	YES
LT963435	2777253	2.49e-04		Staphylococcus simulans	Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	2018	1	28	2749185	2749158	28	28	100.00	100.00	YES
LC292321	367	2.49e-04		uncultured prokaryote	unclassified sequences; environmental samples	2017	1	28	230	203	28	28	100.00	100.00	YES
LC288057	382	2.49e-04		uncultured prokaryote	unclassified sequences; environmental samples	2017	1	28	200	173	28	28	100.00	100.00	YES
LC306148	399	2.49e-04		uncultured prokaryote	unclassified sequences; environmental samples	2017	1	28	72	45	28	28	100.00	100.00	YES
LC304554	372	2.49e-04		uncultured prokaryote	unclassified sequences; environmental samples	2017	1	28	216	189	28	28	100.00	100.00	YES
LC304386	364	2.49e-04		uncultured prokaryote	unclassified sequences; environmental samples	2017	1	28	273	246	28	28	100.00	100.00	YES
LC300592	386	2.49e-04		uncultured prokaryote	unclassified sequences; environmental samples	2017	1	28	45	18	28	28	100.00	100.00	YES
LC299131	372	2.49e-04		uncultured prokaryote	unclassified sequences; environmental samples	2017	1	28	172	145	28	28	100.00	100.00	YES
LC295166	430	2.49e-04		uncultured prokaryote	unclassified sequences; environmental samples	2017	1	28	159	132	28	28	100.00	100.00	YES
LC294820	350	2.49e-04		uncultured prokaryote	unclassified sequences; environmental samples	2017	1	28	246	219	28	28	100.00	100.00	YES
LC294363	405	2.49e-04		uncultured prokaryote	unclassified sequences; environmental samples	2017	1	28	117	90	28	28	100.00	100.00	YES
CP020369	6856683	2.49e-04		Pseudomonas tolaasii	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	2017	1	28	5974219	5974192	28	28	100.00	100.00	YES
MN045332	528	2.49e-04		synthetic construct	other sequences; artificial sequences	2020	1	28	213	240	28	28	100.00	100.00	YES
MN045331	528	2.49e-04		synthetic construct	other sequences; artificial sequences	2020	1	28	213	240	28	28	100.00	100.00	YES
PV223879	5220	2.49e-04		synthetic construct	other sequences; artificial sequences	2025	1	28	3719	3746	28	28	100.00	100.00	YES
PQ551090	5370	2.49e-04		Escherichia phage GR8	Viruses; Monodnaviria; Sangervirae; Phixviricota; Malgrandaviricetes; Petitvirales; Microviridae	2025	1	28	1498	1525	28	28	100.00	100.00	YES
PQ479934	5386	2.49e-04		Salmonella phage PJNS001	Viruses; Monodnaviria; Sangervirae; Phixviricota; Malgrandaviricetes; Petitvirales; Microviridae	2024	1	28	5071	5098	28	28	100.00	100.00	YES
XM_024719807	528	2.49e-04		Plasmopara halstedii	Eukaryota; Sar; Stramenopiles; Oomycota; Peronosporomycetes; Peronosporales; Peronosporaceae; Plasmopara	2020	1	28	213	240	28	28	100.00	100.00	YES
PP501405	5513	2.49e-04		Salmonella phage SP14	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes	2024	1	28	2276	2303	28	28	100.00	100.00	YES
MT947439	5386	2.49e-04		Protaetiibacter phage SSC1	Viruses; Monodnaviria; Sangervirae; Phixviricota; Malgrandaviricetes; Petitvirales; Microviridae; Bullavirinae; Sinsheimervirus; Sinsheimervirus phiX174	2020	1	28	5071	5098	28	28	100.00	100.00	YES
MN266305	5386	2.49e-04		Shigella phage SGF3	Viruses; Monodnaviria; Sangervirae; Phixviricota; Malgrandaviricetes; Petitvirales; Microviridae; Bullavirinae; Sinsheimervirus	2019	1	28	592	619	28	28	100.00	100.00	YES
MH378443	5386	2.49e-04		Sinsheimervirus phiX174	Viruses; Monodnaviria; Sangervirae; Phixviricota; Malgrandaviricetes; Petitvirales; Microviridae; Bullavirinae; Sinsheimervirus	2018	1	28	2607	2634	28	28	100.00	100.00	YES
MH378442	5386	2.49e-04		Sinsheimervirus phiX174	Viruses; Monodnaviria; Sangervirae; Phixviricota; Malgrandaviricetes; Petitvirales; Microviridae; Bullavirinae; Sinsheimervirus	2018	1	28	2607	2634	28	28	100.00	100.00	YES
MH378441	5386	2.49e-04		Sinsheimervirus phiX174	Viruses; Monodnaviria; Sangervirae; Phixviricota; Malgrandaviricetes; Petitvirales; Microviridae; Bullavirinae; Sinsheimervirus	2018	1	28	2607	2634	28	28	100.00	100.00	YES
