Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
CP163589	36271	0.024		Escherichia coli	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	2024	1	24	36229	36206	24	24	100.00	100.00	YES
CP141133	78546334	1.5		Warburgia ugandensis	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Magnoliidae; Canellales; Canellaceae; Warburgia	2024	3	23	21427289	21427269	21	24	100.00	88.00	YES
OZ240241	8426055	5.9		Candidatus Latescibacterota bacterium	Bacteria; Pseudomonadati; Candidatus Latescibacterota	2025	1	20	2641885	2641904	20	24	100.00	83.00	YES
OZ220881	15900926	5.9		Larentia clavaria	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Geometroidea; Geometridae; Larentiinae; Larentia	2025	5	24	14223307	14223326	20	24	100.00	83.00	YES
OZ182374	38886216	5.9		Autographa bractea	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Plusiinae; Autographa	2024	4	23	28424279	28424298	20	24	100.00	83.00	YES
OZ182374	38886216	5.9		Autographa bractea	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Plusiinae; Autographa	2024	4	23	27849865	27849846	20	24	100.00	83.00	YES
OZ182374	38886216	5.9		Autographa bractea	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Plusiinae; Autographa	2024	4	23	29472252	29472233	20	24	100.00	83.00	YES
OZ210760	35762373	5.9		Sphaerechinus granularis	Eukaryota; Metazoa; Echinodermata; Eleutherozoa; Echinozoa; Echinoidea; Euechinoidea; Echinacea; Temnopleuroida; Toxopneustidae; Sphaerechinus	2024	4	23	9062952	9062933	20	24	100.00	83.00	YES
OY829541	70509786	5.9		Viola odorata	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Violaceae; Viola; Viola subgen. Viola; Viola sect. Viola; Viola subsect. Viola	2023	4	23	32993814	32993795	20	24	100.00	83.00	YES
OZ202934	21327492	5.9		Tithorea tarricina	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Danainae; Ithomiini; Tithoreina; Tithorea	2026	1	24	6686948	6686925	24	24	95.83	100.00	YES
