Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
AP040383	32223741	1.5		Oryzias latipes	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Atherinomorphae; Beloniformes; Adrianichthyidae; Oryziinae; Oryzias	2025	1	21	30380511	30380531	21	24	100.00	88.00	YES
OZ286738	24494436	1.5		Mystacides azureus	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Trichoptera; Integripalpia; Brevitentoria; Leptoceroidea; Leptoceridae; Leptocerinae; Mystacidini; Mystacides	2025	4	24	384444	384464	21	24	100.00	88.00	YES
LR738625	99237486	1.5		Sciurus vulgaris	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Sciurinae; Sciurini; Sciurus	2020	4	24	67102802	67102822	21	24	100.00	88.00	YES
LR738603	94684172	1.5		Sciurus carolinensis	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Sciurinae; Sciurini; Sciurus	2020	4	24	52325	52345	21	24	100.00	88.00	YES
LR738603	94684172	1.5		Sciurus carolinensis	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Sciurinae; Sciurini; Sciurus	2020	4	24	2881184	2881204	21	24	100.00	88.00	YES
OZ258558	26913091	1.5		Ipimorpha retusa	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Xyleninae; Ipimorpha	2025	4	24	14396811	14396791	21	24	100.00	88.00	YES
OZ255032	85200854	1.5		Harmothoe areolata	Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Annelida; Polychaeta; Errantia; Phyllodocida; Polynoidae; Harmothoe	2025	3	23	70779007	70779027	21	24	100.00	88.00	YES
OZ175156	17437892	1.5		Gallinula chloropus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Gruiformes; Rallidae; Gallinula	2024	4	24	9870491	9870471	21	24	100.00	88.00	YES
CP020678	30598983	1.5		Oryzias latipes	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Atherinomorphae; Beloniformes; Adrianichthyidae; Oryziinae; Oryzias	2017	1	21	28950250	28950270	21	24	100.00	88.00	YES
XM_079109896	1875	1.5		Sciurus vulgaris	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Sciurinae; Sciurini; Sciurus	2026	4	24	1420	1440	21	24	100.00	88.00	YES
