Accession	Length	E-value	Definition	Organism	Taxonomy	Release Year	query_start	query_end	subject_start	subject_end	Align_Length	Query_Length	Identity(%)	Coverage(%)	Pass_Filter
OZ337580	85971649	5.9		Haematopus ostralegus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Charadriiformes; Haematopodidae; Haematopus	2025	1	20	51062215	51062196	20	24	100.00	83.00	YES
OZ318283	59147147	5.9		Riccia sorocarpa	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Marchantiophyta; Marchantiopsida; Marchantiidae; Marchantiales; Ricciaceae; Riccia	2025	1	20	9089279	9089260	20	24	100.00	83.00	YES
OZ274205	75157857	5.9					1	20	3529058	3529077	20	24	100.00	83.00	YES
OZ274171	74199471	5.9					1	20	3503850	3503869	20	24	100.00	83.00	YES
OZ261104	87105696	5.9		Vanellus vanellus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Charadriiformes; Charadriidae; Vanellus	2025	1	20	34976917	34976936	20	24	100.00	83.00	YES
OZ246520	86090893	5.9		Vanellus vanellus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Charadriiformes; Charadriidae; Vanellus	2025	1	20	50925114	50925095	20	24	100.00	83.00	YES
LR606181	85456622	5.9		Aquila chrysaetos chrysaetos	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Accipitrimorphae; Accipitriformes; Accipitridae; Accipitrinae; Aquila	2021	1	20	7330977	7330958	20	24	100.00	83.00	YES
OZ238936	87209624	5.9					1	20	79164757	79164776	20	24	100.00	83.00	YES
OZ238469	75391489	5.9					1	20	68723191	68723210	20	24	100.00	83.00	YES
OZ238429	74407895	5.9					1	20	67961154	67961173	20	24	100.00	83.00	YES
OZ205605	29568031	5.9		Crambus pascuella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Pyraloidea; Crambidae; Crambinae; Crambus	2024	4	23	6704352	6704333	20	24	100.00	83.00	YES
OZ205575	29568090	5.9		Crambus pascuella	Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Pyraloidea; Crambidae; Crambinae; Crambus	2024	4	23	6234153	6234134	20	24	100.00	83.00	YES
OZ067107	83713171	5.9		Grus grus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Gruiformes; Gruidae; Grus	2024	1	20	75904371	75904390	20	24	100.00	83.00	YES
OX637465	56747999	5.9		Trifolium subterraneum	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; NPAAA clade; Hologalegina; IRL clade; Trifolieae; Trifolium	2023	1	20	41894377	41894358	20	24	100.00	83.00	YES
OX381636	85729264	5.9		Haliaeetus albicilla	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Accipitrimorphae; Accipitriformes; Accipitridae; Accipitrinae; Haliaeetus	2022	1	20	77814265	77814284	20	24	100.00	83.00	YES
OU015526	83320075	5.9		Caprimulgus europaeus	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Strisores; Caprimulgiformes; Caprimulgidae; Caprimulginae; Caprimulgus	2021	1	20	8307178	8307159	20	24	100.00	83.00	YES
OZ407340	45585614	5.9					1	20	41694777	41694758	20	24	100.00	83.00	YES
